NIPA_Line,Description,Direct,Indirect,Total
269,"Trust, fiduciary, and custody activities",0.0,0.00014389418972633985,0.00014389418972633985
278,Workers' compensation,0.0,0.00014359947993252038,0.00014359947993252038
69,Educational books,0.0,0.00013882833579182045,0.00013882833579182045
313,"Clothing repair, rental, and alterations",0.0,0.00013834860361235443,0.00013834860361235443
287,First-class postal service (by U.S. Postal Service),0.0,0.00013066358841167728,0.00013066358841167728
208,Water transportation,0.0,0.00012657419076869876,0.00012657419076869876
325,Religious organizations' services to households,0.0,0.00011659138483607056,0.00011659138483607056
46,"Video discs, tapes, and permanent digital downloads",8.990843160531874e-05,2.332772807415941e-05,0.00011323615967947816
130,Film and photographic supplies,7.78815155246167e-05,2.2625433100398292e-05,0.00010050694862501498
323,"Other social assistance, not elsewere classified",0.0,9.00517983564592e-05,9.00517983564592e-05
263,Other direct commissions,0.0,8.701545608871949e-05,8.701545608871949e-05
103,Food produced and consumed on farms,6.217040672927576e-05,2.041193796005682e-05,8.258234468933258e-05
214,Motion picture theaters,0.0,8.156566054023268e-05,8.156566054023268e-05
267,Mutual fund sales charges,0.0,8.146441037286766e-05,8.146441037286766e-05
326,Foundations and grantmaking and giving services to households,0.0,6.65336283885208e-05,6.65336283885208e-05
266,Other imputed commissions,0.0,6.437827433952865e-05,6.437827433952865e-05
330,"Repair of furniture, furnishings, and floor coverings",0.0,6.195570377810572e-05,6.195570377810572e-05
163,Rental value of farm dwellings,0.0,6.160352783300126e-05,6.160352783300126e-05
272,Net household insurance,0.0,5.1642004627337824e-05,5.1642004627337824e-05
164,Group housing,0.0,4.543570951379872e-05,4.543570951379872e-05
45,"Audio discs, tapes, vinyl, and permanent digital downloads",3.596337264212752e-05,9.196899934659841e-06,4.5160272576787355e-05
220,Photo processing,0.0,3.9071283744839865e-05,3.9071283744839865e-05
203,Intercity buses,0.0,3.681145182623871e-05,3.681145182623871e-05
262,Exchange-listed equities,0.0,3.200727763772369e-05,3.200727763772369e-05
229,Pari-mutuel net receipts,0.0,3.152886211859247e-05,3.152886211859247e-05
201,Railway transportation,0.0,3.002656536442091e-05,3.002656536442091e-05
155,Tenant-occupied mobile homes,0.0,1.771466280575291e-05,1.771466280575291e-05
277,Income loss,0.0,1.3634919770575338e-05,1.3634919770575338e-05
314,Repair and hire of footwear,0.0,1.3460025101957288e-05,1.3460025101957288e-05
302,Employment agency services,0.0,1.2600612600534464e-05,1.2600612600534464e-05
265,Over-the-counter equity securities,0.0,4.2260691253284825e-06,4.2260691253284825e-06
148,Private employees' expenditures abroad,0.0,0.0,0.0
149,Less: Personal remittances in kind to nonresidents,0.0,0.0,0.0
147,Government employees' expenditures abroad,0.0,0.0,0.0
336,U.S. travel outside the United States,0.0,0.0,0.0
337,U.S. student expenditures,0.0,0.0,0.0
338,Less: Expenditures in the United States by nonresidents,0.0,0.0,0.0
