NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
185,Proprietary hospitals,14,Services,Household consumption expenditures (for services),Health care,Hospital and nursing home services,Hospitals,Proprietary hospitals,,,,,110
186,Government hospitals,14,Services,Household consumption expenditures (for services),Health care,Hospital and nursing home services,Hospitals,Government hospitals,,,,,111
188,Nonprofit nursing homes' services to households,14,Services,Household consumption expenditures (for services),Health care,Hospital and nursing home services,Nursing homes,Nonprofit nursing homes' services to households,,,,,112
189,Proprietary and government nursing homes,14,Services,Household consumption expenditures (for services),Health care,Hospital and nursing home services,Nursing homes,Proprietary and government nursing homes,,,,,113
192,Motor vehicle maintenance and repair,12,Services,Household consumption expenditures (for services),Transportation services,Motor vehicle services,Motor vehicle maintenance and repair,,,,,,114
195,Auto leasing,16,Services,Household consumption expenditures (for services),Transportation services,Motor vehicle services,Other motor vehicle services,Motor vehicle leasing,Auto leasing,,,,115
196,Truck leasing,16,Services,Household consumption expenditures (for services),Transportation services,Motor vehicle services,Other motor vehicle services,Motor vehicle leasing,Truck leasing,,,,116
197,Motor vehicle rental,14,Services,Household consumption expenditures (for services),Transportation services,Motor vehicle services,Other motor vehicle services,Motor vehicle rental,,,,,117
198,Parking fees and tolls,14,Services,Household consumption expenditures (for services),Transportation services,Motor vehicle services,Other motor vehicle services,Parking fees and tolls,,,,,118
201,Railway transportation,14,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Ground transportation,Railway transportation,,,,,119
203,Intercity buses,16,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Ground transportation,Road transportation,Intercity buses,,,,120
204,Taxicabs and ride sharing services,16,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Ground transportation,Road transportation,Taxicabs and ride sharing services,,,,121
205,Intracity mass transit,16,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Ground transportation,Road transportation,Intracity mass transit,,,,122
206,Other road transportation service,16,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Ground transportation,Road transportation,Other road transportation service,,,,123
207,Air transportation,12,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Air transportation,,,,,,124
208,Water transportation,12,Services,Household consumption expenditures (for services),Transportation services,Public transportation,Water transportation,,,,,,125
211,Membership clubs and participant sports centers,12,Services,Household consumption expenditures (for services),Recreation services,"Membership clubs, sports centers, parks, theaters, and museums",Membership clubs and participant sports centers,,,,,,126
212,"Amusement parks, campgrounds, and related recreational services",12,Services,Household consumption expenditures (for services),Recreation services,"Membership clubs, sports centers, parks, theaters, and museums","Amusement parks, campgrounds, and related recreational services",,,,,,127
214,Motion picture theaters,14,Services,Household consumption expenditures (for services),Recreation services,"Membership clubs, sports centers, parks, theaters, and museums",Admissions to specified spectator amusements,Motion picture theaters,,,,,128
215,"Live entertainment, excluding sports",14,Services,Household consumption expenditures (for services),Recreation services,"Membership clubs, sports centers, parks, theaters, and museums",Admissions to specified spectator amusements,"Live entertainment, excluding sports",,,,,129
216,Spectator sports,14,Services,Household consumption expenditures (for services),Recreation services,"Membership clubs, sports centers, parks, theaters, and museums",Admissions to specified spectator amusements,Spectator sports,,,,,130
217,Museums and libraries,12,Services,Household consumption expenditures (for services),Recreation services,"Membership clubs, sports centers, parks, theaters, and museums",Museums and libraries,,,,,,131
219,"Cable, satellite, and other live television services",12,Services,Household consumption expenditures (for services),Recreation services,"Audio-video, photographic, and information processing equipment services","Cable, satellite, and other live television services",,,,,,132
220,Photo processing,12,Services,Household consumption expenditures (for services),Recreation services,"Audio-video, photographic, and information processing equipment services",Photo processing,,,,,,133
221,Photo studios,12,Services,Household consumption expenditures (for services),Recreation services,"Audio-video, photographic, and information processing equipment services",Photo studios,,,,,,134
222,"Repair and rental of audio-visual, photographic, and information processing equipment",12,Services,Household consumption expenditures (for services),Recreation services,"Audio-video, photographic, and information processing equipment services","Repair and rental of audio-visual, photographic, and information processing equipment",,,,,,135
223,Video and audio streaming and rental,12,Services,Household consumption expenditures (for services),Recreation services,"Audio-video, photographic, and information processing equipment services",Video and audio streaming and rental,,,,,,136
227,Casino gambling,12,Services,Household consumption expenditures (for services),Recreation services,Gambling,Casino gambling,,,,,,137
228,Lotteries,12,Services,Household consumption expenditures (for services),Recreation services,Gambling,Lotteries,,,,,,138
229,Pari-mutuel net receipts,12,Services,Household consumption expenditures (for services),Recreation services,Gambling,Pari-mutuel net receipts,,,,,,139
231,Veterinary and other services for pets,12,Services,Household consumption expenditures (for services),Recreation services,Other recreational services,Veterinary and other services for pets,,,,,,140
232,Package tours,12,Services,Household consumption expenditures (for services),Recreation services,Other recreational services,Package tours,,,,,,141
233,Maintenance and repair of recreational vehicles and sports equipment,12,Services,Household consumption expenditures (for services),Recreation services,Other recreational services,Maintenance and repair of recreational vehicles and sports equipment,,,,,,142
