Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Georgia,1814068.0,7304191030,73,7304191030,331110,331110,direct_2022
Germany,318137.0,7304191030,73,7304191030,331110,331110,direct_2022
Italy,1123906.0,7304191030,73,7304191030,331110,331110,direct_2022
France,3088.0,7304191045,73,7304191045,331110,331110,direct_2022
Georgia,1346781.0,7304191045,73,7304191045,331110,331110,direct_2022
Germany,37579.0,7304191045,73,7304191045,331110,331110,direct_2022
Italy,6933818.0,7304191045,73,7304191045,331110,331110,direct_2022
France,384114.0,7304191060,73,7304191060,331110,331110,direct_2022
Georgia,329575.0,7304191060,73,7304191060,331110,331110,direct_2022
Germany,174401.0,7304191060,73,7304191060,331110,331110,direct_2022
Italy,10629742.0,7304191060,73,7304191060,331110,331110,direct_2022
France,2454.0,7304191080,73,7304191080,331110,331110,direct_2022
Germany,212292.0,7304191080,73,7304191080,331110,331110,direct_2022
Italy,21323412.0,7304191080,73,7304191080,331110,331110,direct_2022
France,8897.0,7304195020,73,7304195020,331110,331110,direct_2022
Germany,131145.0,7304195020,73,7304195020,331110,331110,direct_2022
Italy,3246110.0,7304195020,73,7304195020,331110,331110,direct_2022
Germany,501114.0,7304195050,73,7304195050,331110,331110,direct_2022
Italy,46618484.0,7304195050,73,7304195050,331110,331110,direct_2022
Germany,584634.0,7304195080,73,7304195080,331110,331110,direct_2022
Italy,40341324.0,7304195080,73,7304195080,331110,331110,direct_2022
France,104000.0,7304233000,73,7304233000,331110,331110,direct_2022
Germany,26742.0,7304233000,73,7304233000,331110,331110,direct_2022
Germany,3750.0,7304236030,73,7304236030,331110,331110,direct_2022
France,7787604.0,7304243010,73,7304243010,331210,331110,direct_2022
Germany,236672.0,7304243010,73,7304243010,331210,331110,direct_2022
France,1146498.0,7304243030,73,7304243030,331210,331110,direct_2022
Germany,13974.0,7304243045,73,7304243045,331210,331110,direct_2022
Italy,29430.0,7304243045,73,7304243045,331210,331110,direct_2022
Germany,11193.0,7304244010,73,7304244010,331210,331110,direct_2022
France,9120.0,7304244020,73,7304244020,331210,331110,direct_2022
Germany,260522.0,7304244020,73,7304244020,331210,331110,direct_2022
Germany,2560.0,7304244040,73,7304244040,331210,331110,direct_2022
France,6139605.0,7304246015,73,7304246015,331210,331110,direct_2022
Italy,2441436.0,7304246015,73,7304246015,331210,331110,direct_2022
Italy,1003235.0,7304246045,73,7304246045,331210,331110,direct_2022
Italy,1606316.0,7304246060,73,7304246060,331210,331110,direct_2022
France,4313.0,7304246075,73,7304246075,331210,331110,direct_2022
Finland,8824.0,7304291010,73,7304291010,331110,331110,direct_2022
Italy,25750.0,7304291010,73,7304291010,331110,331110,direct_2022
Kazakhstan,115302.0,7304291010,73,7304291010,331110,331110,direct_2022
Germany,13827.0,7304291020,73,7304291020,331110,331110,direct_2022
Germany,692200.0,7304291030,73,7304291030,331110,331110,direct_2022
Italy,9743.0,7304291060,73,7304291060,331110,331110,direct_2022
France,83981.0,7304292010,73,7304292010,331110,331110,direct_2022
France,487977.0,7304292040,73,7304292040,331110,331110,direct_2022
France,188547.0,7304292060,73,7304292060,331110,331110,direct_2022
France,100888.0,7304292080,73,7304292080,331110,331110,direct_2022
Germany,68990.0,7304293110,73,7304293110,331110,331110,direct_2022
Germany,27628.0,7304293120,73,7304293120,331110,331110,direct_2022
France,43219.0,7304293130,73,7304293130,331110,331110,direct_2022
Georgia,402928.0,7304293130,73,7304293130,331110,331110,direct_2022
Germany,89164.0,7304293130,73,7304293130,331110,331110,direct_2022
France,661724.0,7304293140,73,7304293140,331110,331110,direct_2022
Germany,882539.0,7304293140,73,7304293140,331110,331110,direct_2022
France,28381.0,7304293150,73,7304293150,331110,331110,direct_2022
Germany,5543.0,7304293150,73,7304293150,331110,331110,direct_2022
France,496453.0,7304293160,73,7304293160,331110,331110,direct_2022
Germany,475181.0,7304293160,73,7304293160,331110,331110,direct_2022
Italy,343918.0,7304293160,73,7304293160,331110,331110,direct_2022
Germany,1045645.0,7304293180,73,7304293180,331110,331110,direct_2022
Italy,11814750.0,7304293180,73,7304293180,331110,331110,direct_2022
Georgia,378819.0,7304294110,73,7304294110,331110,331110,direct_2022
Germany,256899.0,7304294110,73,7304294110,331110,331110,direct_2022
Italy,3073083.0,7304294120,73,7304294120,331110,331110,direct_2022
Georgia,272665.0,7304294130,73,7304294130,331110,331110,direct_2022
Italy,1636512.0,7304294130,73,7304294130,331110,331110,direct_2022
Germany,5000.0,7304294140,73,7304294140,331110,331110,direct_2022
Italy,15175979.0,7304294140,73,7304294140,331110,331110,direct_2022
Italy,2398603.0,7304294150,73,7304294150,331110,331110,direct_2022
Germany,258529.0,7304294160,73,7304294160,331110,331110,direct_2022
Italy,32878653.0,7304294160,73,7304294160,331110,331110,direct_2022
Germany,6055770.0,7304294180,73,7304294180,331110,331110,direct_2022
Italy,9602339.0,7304294180,73,7304294180,331110,331110,direct_2022
Germany,219461.0,7304295015,73,7304295015,331110,331110,direct_2022
Kazakhstan,1001613.0,7304295015,73,7304295015,331110,331110,direct_2022
Germany,6085448.0,7304296115,73,7304296115,331110,331110,direct_2022
Kazakhstan,923866.0,7304296115,73,7304296115,331110,331110,direct_2022
Italy,994551.0,7304296175,73,7304296175,331110,331110,direct_2022
France,222183.0,7304313000,73,7304313000,331110,331110,direct_2022
Germany,231815.0,7304313000,73,7304313000,331110,331110,direct_2022
Italy,209103.0,7304313000,73,7304313000,331110,331110,direct_2022
France,336981.0,7304316010,73,7304316010,331110,331110,direct_2022
Germany,10506181.0,7304316010,73,7304316010,331110,331110,direct_2022
Italy,3669433.0,7304316010,73,7304316010,331110,331110,direct_2022
France,2400.0,7304316050,73,7304316050,331110,331110,direct_2022
Germany,5975231.0,7304316050,73,7304316050,331110,331110,direct_2022
