Country,iso3,HS_Section,detail_code,impVal,bea_total,weight
Albania,ALB,16,333618,8201.0,8201.0,1.0
Albania,ALB,16,333914,11620.0,11620.0,1.0
Albania,ALB,16,33399A,2238.0,2238.0,1.0
Albania,ALB,16,33399B,8577.0,8577.0,1.0
Albania,ALB,16,334118,3936.0,3936.0,1.0
Albania,ALB,16,334210,30335.0,30335.0,1.0
Albania,ALB,16,334220,44658.0,44658.0,1.0
Albania,ALB,16,334290,10954.0,10954.0,1.0
Albania,ALB,16,334413,89391.0,89391.0,1.0
Albania,ALB,18,334510,10098.0,10098.0,1.0
Albania,ALB,16,334511,17095.0,17095.0,1.0
Albania,ALB,18,33451A,3226.0,3226.0,1.0
Albania,ALB,16,335210,247544.0,247544.0,1.0
Albania,ALB,16,335220,3469.0,3469.0,1.0
Albania,ALB,16,335312,37870.0,37870.0,1.0
Albania,ALB,16,335313,42934.0,42934.0,1.0
Albania,ALB,16,335911,81435.0,81435.0,1.0
Albania,ALB,16,335920,841465.0,841465.0,1.0
Albania,ALB,16,335999,97703.0,97703.0,1.0
Albania,ALB,16,336310,3219.0,3219.0,1.0
Albania,ALB,16,336320,29906.0,29906.0,1.0
Albania,ALB,20,336360,352882.0,352882.0,1.0
Albania,ALB,17,336390,402004.0,402004.0,1.0
Albania,ALB,17,3363A0,267516.0,267516.0,1.0
Albania,ALB,17,336611,3718.0,3718.0,1.0
Albania,ALB,17,336612,480000.0,480000.0,1.0
Albania,ALB,20,337110,114513.0,114513.0,1.0
Albania,ALB,20,337121,379963.0,379963.0,1.0
Albania,ALB,20,337122,197552.0,197552.0,1.0
Albania,ALB,20,337127,767499.0,767499.0,1.0
Albania,ALB,20,33712N,366305.0,366305.0,1.0
Albania,ALB,20,337215,155227.0,155227.0,1.0
Albania,ALB,20,33721A,25111.0,25111.0,1.0
Albania,ALB,20,337900,679843.0,679843.0,1.0
Albania,ALB,18,339112,28287.0,28287.0,1.0
Albania,ALB,14,339910,99859.0,99859.0,1.0
Albania,ALB,7,339990,20867.0,139451.0,0.14963678998357846
Albania,ALB,12,339990,35794.0,139451.0,0.25667797290804656
Albania,ALB,15,339990,2331.0,139451.0,0.0167155488307721
Albania,ALB,20,339990,80459.0,139451.0,0.5769696882776029
Albania,ALB,11,S00300,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,14,S00300,91393.0,1871498.0,0.04883414248906491
Albania,ALB,17,S00300,32500.0,1871498.0,0.017365767957005566
Albania,ALB,21,S00300,1746122.0,1871498.0,0.9330076762037683
Andorra,AND,4,311810,2912.0,2912.0,1.0
Andorra,AND,11,313200,511.0,511.0,1.0
Andorra,AND,10,323110,123903.0,123903.0,1.0
Andorra,AND,7,325211,584.0,584.0,1.0
Andorra,AND,7,326190,18254.0,19679.0,0.9275877839321104
Andorra,AND,8,326190,1425.0,19679.0,0.07241221606788963
Andorra,AND,14,331490,11165.0,11165.0,1.0
Andorra,AND,15,332500,3976.0,3976.0,1.0
Andorra,AND,16,332991,17086.0,17086.0,1.0
Andorra,AND,15,332999,176469.0,176469.0,1.0
Andorra,AND,17,333111,3723.0,3723.0,1.0
Andorra,AND,18,333314,7506.0,7506.0,1.0
Andorra,AND,15,333514,4500.0,4500.0,1.0
Andorra,AND,16,333517,6838.0,6838.0,1.0
Andorra,AND,16,33351B,2488.0,2488.0,1.0
Andorra,AND,16,333920,3171.0,3171.0,1.0
Andorra,AND,16,334220,16798.0,16798.0,1.0
Andorra,AND,16,334413,1452814.0,1452814.0,1.0
Andorra,AND,16,33441A,27791.0,27791.0,1.0
Andorra,AND,16,334511,2500.0,2500.0,1.0
Andorra,AND,18,334513,20000.0,20000.0,1.0
Andorra,AND,18,334515,6000.0,6000.0,1.0
Andorra,AND,18,334516,4879.0,4879.0,1.0
Andorra,AND,18,33451A,17450.0,17450.0,1.0
Andorra,AND,16,335912,27334.0,27334.0,1.0
Andorra,AND,16,336412,8506.0,8506.0,1.0
Andorra,AND,17,336991,16489.0,16489.0,1.0
Andorra,AND,20,337127,30176.0,30176.0,1.0
Andorra,AND,18,339112,94460.0,94460.0,1.0
Andorra,AND,18,339116,44301.0,44301.0,1.0
Andorra,AND,14,339910,115500.0,131796.0,0.8763543658381134
Andorra,AND,18,339910,16296.0,131796.0,0.12364563416188655
Andorra,AND,20,339930,312946.0,312946.0,1.0
Andorra,AND,7,339990,832.0,333724.0,0.002493078112452206
Andorra,AND,12,339990,2925.0,333724.0,0.008764727739089788
Andorra,AND,18,339990,231786.0,333724.0,0.6945439944385181
Andorra,AND,20,339990,98181.0,333724.0,0.29419819970993993
Andorra,AND,10,S00300,101100.0,436774.0,0.23146982192163454
Andorra,AND,21,S00300,335674.0,436774.0,0.7685301780783654
Anguilla,AIA,4,312130,235930.0,235930.0,1.0
Anguilla,AIA,11,314120,2056.0,2056.0,1.0
Anguilla,AIA,11,315000,535.0,535.0,1.0
Anguilla,AIA,8,316000,1154.0,164637.0,0.007009359985908392
Anguilla,AIA,12,316000,163483.0,164637.0,0.9929906400140917
Anguilla,AIA,6,325620,53405.0,53405.0,1.0
Anguilla,AIA,7,326190,68858.0,68858.0,1.0
Anguilla,AIA,13,327100,27030.0,27030.0,1.0
Anguilla,AIA,13,327999,28298.0,28298.0,1.0
Anguilla,AIA,16,33399A,3666.0,3666.0,1.0
Anguilla,AIA,20,335120,2000.0,2000.0,1.0
Anguilla,AIA,16,335312,2505.0,2505.0,1.0
Anguilla,AIA,16,335911,19824.0,19824.0,1.0
Anguilla,AIA,16,336412,108000.0,108000.0,1.0
Anguilla,AIA,20,337122,13340.0,13340.0,1.0
Anguilla,AIA,14,S00300,86640.0,460514.0,0.1881376027656054
Anguilla,AIA,15,S00300,61162.0,460514.0,0.1328124660705212
Anguilla,AIA,16,S00300,33715.0,460514.0,0.07321167217500445
Anguilla,AIA,21,S00300,278997.0,460514.0,0.605838258988869
Antigua and Barbuda,ATG,5,2123A0,54800.0,54800.0,1.0
Antigua and Barbuda,ATG,4,311990,65600.0,65600.0,1.0
Antigua and Barbuda,ATG,4,312130,93175.0,93175.0,1.0
Antigua and Barbuda,ATG,4,312140,75438.0,75438.0,1.0
Antigua and Barbuda,ATG,11,314900,65143.0,65143.0,1.0
Antigua and Barbuda,ATG,8,315000,1850.0,5230.0,0.35372848948374763
Antigua and Barbuda,ATG,11,315000,3380.0,5230.0,0.6462715105162524
Antigua and Barbuda,ATG,8,316000,2070.0,2070.0,1.0
Antigua and Barbuda,ATG,10,323110,205042.0,205042.0,1.0
Antigua and Barbuda,ATG,5,324110,1393295.0,1393295.0,1.0
Antigua and Barbuda,ATG,6,325120,3581.0,3581.0,1.0
