Country,impVal,hs_code,hs2_code,detail_code
Lebanon,23659.0,909610000,9,311940
Syria,1172212.0,909610000,9,311940
Jordan,3750.0,909620000,9,311940
Syria,291289.0,909620000,9,311940
Israel,3562098.0,910120000,9,311940
Jordan,11939.0,910120000,9,311940
Lebanon,21642.0,910120000,9,311940
United Arab Emirates,3343.0,910120000,9,311940
Israel,47800.0,910200000,9,311940
Oman,52990.0,910200000,9,311940
United Arab Emirates,51193.0,910200000,9,311940
Israel,85184.0,910300000,9,311940
Jordan,16488.0,910300000,9,311940
Lebanon,44171.0,910300000,9,311940
United Arab Emirates,9739.0,910300000,9,311940
Iraq,8431.0,910910000,9,311940
Israel,120927.0,910910000,9,311940
Jordan,513097.0,910910000,9,311940
Kuwait,14553.0,910910000,9,311940
Lebanon,970166.0,910910000,9,311940
Oman,2275.0,910910000,9,311940
Saudi Arabia,17920.0,910910000,9,311940
Syria,67819.0,910910000,9,311940
United Arab Emirates,5387239.0,910910000,9,311940
West Bank Administered by Israel,7300.0,910910000,9,311940
Yemen,19050.0,910910000,9,311940
Lebanon,10400.0,910990500,9,111900
United Arab Emirates,6967.0,910990500,9,111900
West Bank Administered by Israel,5335.0,910990500,9,111900
Israel,16324.0,910990600,9,311940
Jordan,369852.0,910990600,9,311940
Lebanon,75727.0,910990600,9,311940
Syria,24886.0,910990600,9,311940
West Bank Administered by Israel,5516.0,910990600,9,311940
Israel,31822.0,910990700,9,311940
Lebanon,19457.0,910990700,9,311940
Iraq,7804.0,910991000,9,311940
Israel,25632.0,910991000,9,311940
Jordan,15398.0,910991000,9,311940
Lebanon,34957.0,910991000,9,311940
United Arab Emirates,13745.0,910991000,9,311940
Jordan,3400.0,910992000,9,111900
Israel,77389.0,910995000,9,311940
United Arab Emirates,64517.0,910995000,9,311940
Israel,457133.0,910996000,9,311940
Jordan,1001610.0,910996000,9,311940
Lebanon,611122.0,910996000,9,311940
Saudi Arabia,15456.0,910996000,9,311940
Syria,41239.0,910996000,9,311940
United Arab Emirates,1627616.0,910996000,9,311940
West Bank Administered by Israel,390378.0,910996000,9,311940
Yemen,129851.0,910996000,9,311940
Israel,3332.0,1001990097,10,1111B0
Lebanon,9000.0,1001990097,10,1111B0
Israel,23800.0,1005904040,10,311990
Jordan,5755.0,1005904040,10,311990
Israel,45603.0,1006202090,10,311210
Jordan,25788.0,1006202090,10,311210
United Arab Emirates,858022.0,1006202090,10,311210
Iraq,56500.0,1006301020,10,311210
Lebanon,139935.0,1006301020,10,311210
Israel,24624.0,1006309057,10,311210
Iraq,17130.0,1006309059,10,311210
Israel,10585.0,1006309059,10,311210
United Arab Emirates,332040.0,1006309059,10,311210
Israel,22162.0,1006309061,10,311210
United Arab Emirates,22425.0,1006309065,10,311210
Lebanon,2170.0,1006309075,10,311210
United Arab Emirates,67340.0,1006309085,10,311210
Israel,5400.0,1008100000,10,1111B0
Israel,53496.0,1008500090,10,1111B0
Jordan,5620.0,1008900140,10,1111B0
United Arab Emirates,16628.0,1101000010,11,311210
Jordan,4100.0,1101000020,11,311210
United Arab Emirates,185201.0,1101000020,11,311210
Israel,24505.0,1101000030,11,311210
United Arab Emirates,115551.0,1101000050,11,311210
Iraq,19883.0,1101000060,11,311210
Israel,1832315.0,1101000060,11,311210
Jordan,10500.0,1101000060,11,311210
Lebanon,6540.0,1101000060,11,311210
United Arab Emirates,10506653.0,1101000060,11,311210
Jordan,5082.0,1102200000,11,311210
Lebanon,3402.0,1102200000,11,311210
Israel,3868.0,1102902000,11,311210
Israel,8623.0,1102902500,11,311210
United Arab Emirates,2480.0,1102902500,11,311210
Israel,11691.0,1102902700,11,311210
United Arab Emirates,1481007.0,1102903000,11,311210
Israel,62250.0,1102906000,11,311210
Jordan,12265.0,1102906000,11,311210
United Arab Emirates,352051.0,1102906000,11,311210
Israel,21490.0,1103110020,11,311210
United Arab Emirates,97228.0,1103110020,11,311210
Israel,1371640.0,1103110040,11,311210
Jordan,16236.0,1103110040,11,311210
Lebanon,40755.0,1103110040,11,311210
West Bank Administered by Israel,15463.0,1103110040,11,311210
Israel,3134.0,1103191200,11,311210
Jordan,5740.0,1104120000,11,311210
Israel,68837.0,1104191000,11,311210
Lebanon,3840.0,1104191000,11,311210
Israel,60766.0,1104291000,11,311210
Iraq,12913.0,1104299000,11,311210
Jordan,19870.0,1104299000,11,311210
United Arab Emirates,3400.0,1104299000,11,311210
Lebanon,14000.0,1104300000,11,311210
Israel,8502.0,1106100000,11,311210
Lebanon,14502.0,1106100000,11,311210
United Arab Emirates,9317.0,1106100000,11,311210
United Arab Emirates,54960.0,1106209000,11,311210
Israel,32861.0,1106304000,11,311210
United Arab Emirates,2139316.0,1106304000,11,311210
Israel,65062.0,1108120010,11,311221
Jordan,27935.0,1108120010,11,311221
Lebanon,12485.0,1108120010,11,311221
Israel,6588.0,1108120090,11,311221
Saudi Arabia,8346.0,1108120090,11,311221
Israel,57924.0,1108130010,11,311221
Israel,22591.0,1108140000,11,311221
Israel,2475.0,1109001000,11,311210
Israel,88641.0,1204000075,12,1111A0
Israel,3000.0,1205900010,12,1111A0
Israel,992032.0,1206000031,12,1111A0
Israel,119857.0,1206000070,12,1111A0
Lebanon,141145.0,1206000070,12,1111A0
Lebanon,11100.0,1206000080,12,1111A0
Israel,264600.0,1206000090,12,1111A0
Lebanon,75328.0,1206000090,12,1111A0
Israel,1592929.0,1207210000,12,111900
Lebanon,206801.0,1207400090,12,1111A0
Israel,72761.0,1207700020,12,111200
Jordan,25888.0,1207700020,12,111200
Israel,2189093.0,1207700040,12,111200
Jordan,124250.0,1207700040,12,111200
Lebanon,114155.0,1207700040,12,111200
Israel,12168.0,1207700075,12,111200
Israel,37651.0,1207990391,12,1111A0
Lebanon,153780.0,1207990391,12,1111A0
