Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
United Arab Emirates,ARE,11,15614941.0,Asia,RoAsia,0.00018970460741876618,0.0013092906372023738,82311870083.0,11926260340.0
United Arab Emirates,ARE,21,1167005372.0,Asia,RoAsia,0.006397865694740945,0.06620552850151955,182405418882.0,17627007871.0
United Arab Emirates,ARE,31ND,1790851458.0,Asia,RoAsia,0.0020494905830910673,0.007916160290091335,873803213723.0,226227286004.0
United Arab Emirates,ARE,33DG,3180623935.0,Asia,RoAsia,0.0016052068491900274,0.00598974762126119,1981441791508.0,531011344069.0
United Arab Emirates,ARE,Other,1320336918.0,Asia,RoAsia,0.008955257849050024,0.05208424490088732,147437063260.0,25350025147.0
United Kingdom,GBR,11,323440924.0,Europe,Europe,0.003929456634551676,0.05907888231495951,82311870083.0,5474729909.0
United Kingdom,GBR,21,1532242566.0,Europe,Europe,0.008400203104663375,0.6299480354916924,182405418882.0,2432331684.0
United Kingdom,GBR,31ND,18730016073.0,Europe,Europe,0.021435050568419527,0.05964242419411202,873803213723.0,314038477243.0
United Kingdom,GBR,33DG,39474540927.0,Europe,Europe,0.01992212998442787,0.1061461966401884,1981441791508.0,371888415944.0
United Kingdom,GBR,Other,8024227842.0,Europe,Europe,0.05442476718252018,0.13989832875784325,147437063260.0,57357567551.0
Uruguay,URY,11,85310718.0,South America,RoWorld,0.0010364327516064946,0.003087939075536047,82311870083.0,27627072916.0
Uruguay,URY,21,130958.0,South America,RoWorld,7.179501618025839e-07,3.127181070849376e-06,182405418882.0,41877332023.0
Uruguay,URY,31ND,960081650.0,South America,RoWorld,0.0010987389779781134,0.018602389879343716,873803213723.0,51610661653.0
Uruguay,URY,33DG,145781146.0,South America,RoWorld,7.35732670143449e-05,0.002157316224133439,1981441791508.0,67575232768.0
Uruguay,URY,Other,37529680.0,South America,RoWorld,0.0002545471211252882,0.00387970191361512,147437063260.0,9673341106.0
Uzbekistan,UZB,11,2634020.0,Asia,RoAsia,3.200048786820126e-05,0.00022085883796831487,82311870083.0,11926260340.0
Uzbekistan,UZB,31ND,10560800.0,Asia,RoAsia,1.2086016432697428e-05,4.6682255648919695e-05,873803213723.0,226227286004.0
Uzbekistan,UZB,33DG,14028018.0,Asia,RoAsia,7.0797022956318134e-06,2.6417548620537923e-05,1981441791508.0,531011344069.0
Uzbekistan,UZB,Other,15214747.0,Asia,RoAsia,0.00010319485930867557,0.0006001866630022085,147437063260.0,25350025147.0
Vanuatu,VUT,11,12156280.0,Oceania,RoAsia,0.0001476856252657374,0.0010192868219745738,82311870083.0,11926260340.0
Vanuatu,VUT,31ND,1189901.0,Oceania,RoAsia,1.361749397705013e-06,5.259758984064199e-06,873803213723.0,226227286004.0
Vanuatu,VUT,33DG,62252.0,Oceania,RoAsia,3.141752650357817e-08,1.172329003802053e-07,1981441791508.0,531011344069.0
Vanuatu,VUT,Other,258588.0,Oceania,RoAsia,1.753887348827542e-06,1.0200699940157736e-05,147437063260.0,25350025147.0
Vatican City,VAT,33DG,150121.0,Europe,Europe,7.576351757764664e-08,4.036721596152262e-07,1981441791508.0,371888415944.0
Vatican City,VAT,Other,20478.0,Europe,Europe,1.38893162595675e-07,3.570235083939325e-07,147437063260.0,57357567551.0
Venezuela,VEN,11,57024542.0,South America,RoWorld,0.000692786373854691,0.0020640819305535146,82311870083.0,27627072916.0
Venezuela,VEN,21,5591455656.0,South America,RoWorld,0.030653999701714847,0.13351986351301087,182405418882.0,41877332023.0
Venezuela,VEN,31ND,287428306.0,South America,RoWorld,0.00032893940132739795,0.0055691653002339,873803213723.0,51610661653.0
Venezuela,VEN,33DG,26318384.0,South America,RoWorld,1.3282441156129083e-05,0.00038946790002716754,1981441791508.0,67575232768.0
Venezuela,VEN,Other,25635889.0,South America,RoWorld,0.00017387682875093642,0.0026501586906822762,147437063260.0,9673341106.0
Vietnam,VNM,11,2790917898.0,Asia,RoAsia,0.033906627260269384,0.23401450399664847,82311870083.0,11926260340.0
