hs_commodity,hs_description,naics_2023,naics_2022,overlap_type
2530902000,Natural Micaceous Iron Oxides (kg),212390.0,212399.0,both_years
2703000000,"Peat (including Peat Litter), Incl Agglomrtd (t)",212390.0,212399.0,both_years
2530908050,Mineral Substances Nesoi (kg),212390.0,212399.0,both_years
2524100000,No description available,212390.0,212399.0,both_years
2513100010,"Pumice, Crude Or In Irreg Pcs Incl Crushed (kg)",212390.0,212399.0,both_years
2524900010,No description available,212390.0,212399.0,both_years
2524900030,No description available,212390.0,212399.0,both_years
2524900040,Chrysotile Milld Fbrs Grp 3 Grd (spnning Or Equiv) (t),212390.0,212399.0,both_years
2524900045,No description available,212390.0,212399.0,both_years
2524900055,No description available,212390.0,212399.0,both_years
2524900060,No description available,212390.0,212399.0,both_years
2526100000,"Natural Steatite, Not Crushed, Not Powdered (kg)",212390.0,212399.0,both_years
2520100000,Gypsum; Anhydrite (t),212390.0,212399.0,both_years
2504900000,Natural Graphite Except Powder Or Flakes (kg),212390.0,212399.0,both_years
2525100010,Split Block Mica (kg),212390.0,212399.0,both_years
2525100050,"Mica, Nesoi (kg)",212390.0,212399.0,both_years
1109009010,"Wheat Gluten, Whether Or Not Dried,cert Org (kg)",311211.0,,only_2023
1109009020,"Wheat Gluten, Whether Or Not Dried,oth Th Org (kg)",311211.0,,only_2023
1006202010,"Rice, Basmati, Husked (brown), Certified Organic (kg)",311212.0,,only_2023
1006202090,"Rice, Basmati, Husked (brown), Nesoi (kg)",311212.0,,only_2023
1702304045,"Glucose Syrup Lt 20% Fructose,cert Org,nesoi,quota (kg)",311221.0,,only_2023
1702304065,"Glucose Syrup Lt 20% Fructose, Nesoi, Quota (kg)",311221.0,,only_2023
1702304075,"Glucose,solid,lt 20% Fructose,cert Org,nesoi,quota (kg)",311221.0,,only_2023
1702304085,"Glucose, Solid, Lt 20% Fructose, Nesoi, Quota (kg)",311221.0,,only_2023
1702604030,"Frctose/frctose Syrup Gt 50% Frctose,cert Org,nes (kg)",311221.0,,only_2023
1702604050,"Frctose/frctose Syrup Gt 50% Frctose,not Org,nesoi (kg)",311221.0,,only_2023
