"Exports & Imports by NAICS Commodities"
"Current date: 07/21/2025 10:42 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Import Value (Gen) ($US)",
"334419 Other Electronic Components","Europe","2024","1,788,325,237"
"3345 Navigational/measuring/medical/control Instrument","World Total","2023","74,367,134,975"
"3345 Navigational/measuring/medical/control Instrument","World Total","2024","79,381,251,670"
"3345 Navigational/measuring/medical/control Instrument","Canada","2023","3,605,418,137"
"3345 Navigational/measuring/medical/control Instrument","Canada","2024","3,775,253,607"
"3345 Navigational/measuring/medical/control Instrument","China","2023","5,661,006,334"
"3345 Navigational/measuring/medical/control Instrument","China","2024","5,640,635,253"
"3345 Navigational/measuring/medical/control Instrument","Japan","2023","4,617,145,763"
"3345 Navigational/measuring/medical/control Instrument","Japan","2024","4,604,333,360"
"3345 Navigational/measuring/medical/control Instrument","Mexico","2023","12,444,066,556"
"3345 Navigational/measuring/medical/control Instrument","Mexico","2024","13,556,117,346"
"3345 Navigational/measuring/medical/control Instrument","Europe","2023","30,746,630,128"
"3345 Navigational/measuring/medical/control Instrument","Europe","2024","32,719,991,394"
"33461 Magnetic & Optical Media","World Total","2023","11,002,791,215"
"33461 Magnetic & Optical Media","World Total","2024","19,194,408,883"
"33461 Magnetic & Optical Media","Canada","2023","130,991,904"
"33461 Magnetic & Optical Media","Canada","2024","116,698,229"
"33461 Magnetic & Optical Media","China","2023","375,858,836"
"33461 Magnetic & Optical Media","China","2024","469,162,334"
"33461 Magnetic & Optical Media","Japan","2023","1,093,375,081"
"33461 Magnetic & Optical Media","Japan","2024","693,579,412"
"33461 Magnetic & Optical Media","Mexico","2023","1,186,656,118"
"33461 Magnetic & Optical Media","Mexico","2024","786,816,342"
"33461 Magnetic & Optical Media","Europe","2023","616,765,486"
"33461 Magnetic & Optical Media","Europe","2024","472,551,114"
