ISO3,HS_Section,2024_imports,2024_duty,2024_tariff,2025_tariff
AZE,21,48657833.0,0.0,0.0,10.0
BDI,1,0.0,0.0,0.0,0.0
BDI,2,3356667.0,0.0,0.0,10.0
BDI,3,0.0,0.0,0.0,0.0
BDI,4,0.0,0.0,0.0,0.0
BDI,5,0.0,0.0,0.0,0.0
BDI,6,3750.0,139.0,3.7066666666666666,13.706666666666669
BDI,7,0.0,0.0,0.0,0.0
BDI,8,1104.0,66.0,5.978260869565218,15.97826086956522
BDI,9,0.0,0.0,0.0,0.0
BDI,10,16232.0,0.0,0.0,10.0
BDI,11,337408.0,56470.0,16.736414074355082,26.736414074355082
BDI,12,0.0,0.0,0.0,0.0
BDI,13,0.0,0.0,0.0,0.0
BDI,14,0.0,0.0,0.0,0.0
BDI,15,0.0,0.0,0.0,0.0
BDI,16,2477.0,0.0,0.0,10.0
BDI,17,0.0,0.0,0.0,0.0
BDI,18,0.0,0.0,0.0,0.0
BDI,19,0.0,0.0,0.0,0.0
BDI,20,0.0,0.0,0.0,0.0
BDI,21,19046.0,0.0,0.0,10.0
BEL,1,102246931.0,977132.0,0.9556590016379074,10.954914040402835
BEL,2,131987997.0,7079952.0,5.364087766253473,15.364087766253473
BEL,3,40850991.0,2977136.0,7.287793826103265,17.287793826103265
BEL,4,949232418.0,46800048.0,4.930304434672184,14.930304434672184
BEL,5,955287521.0,3305105.0,0.3459801292641401,9.748102780879936
BEL,6,14411953737.0,46554505.0,0.323027022217536,8.481529225019882
BEL,7,612968783.0,30916582.0,5.043744943859563,15.046809235308155
BEL,8,4506915.0,316060.0,7.012779251439177,17.012779251439177
BEL,9,67362666.0,350258.0,0.5199586370290036,8.282938801739231
BEL,10,76843300.0,0.0,0.0,9.986103147574347
BEL,11,188620464.0,6737229.0,3.5718441451824656,13.571844145182466
BEL,12,5383746.0,602019.0,11.182158296472382,25.4224920715056
BEL,13,126589385.0,3252834.0,2.5695945991048146,12.585263566925457
BEL,14,2291355121.0,916360.0,0.03999205498971628,10.039992054989716
BEL,15,750565226.0,49319095.0,6.570927254762,20.757339262877068
BEL,16,2164149617.0,12932239.0,0.5975667716507976,12.596531809011246
BEL,17,1475175521.0,34334302.0,2.327472325240679,26.336837682652952
BEL,18,197025716.0,472671.0,0.23990320126536174,10.764893553286212
BEL,19,38695202.0,528875.0,1.366771518598094,11.366771518598094
BEL,20,101247456.0,1003922.0,0.9915528149171472,13.56971655663131
BEL,21,2811051066.0,0.0,0.0,10.0
BEN,1,63248.0,0.0,0.0,10.0
BEN,2,12840665.0,0.0,0.0,10.0
BEN,3,3530.0,0.0,0.0,10.0
BEN,4,29379460.0,0.0,0.0,10.0
BEN,5,0.0,0.0,0.0,0.0
BEN,6,0.0,0.0,0.0,0.0
BEN,7,0.0,0.0,0.0,0.0
BEN,8,0.0,0.0,0.0,0.0
BEN,9,133525.0,152.0,0.11383636023216627,0.9962179367159708
BEN,10,4466.0,0.0,0.0,10.0
BEN,11,2793861.0,298.0,0.01066624288037236,10.010666242880372
BEN,12,0.0,0.0,0.0,0.0
BEN,13,0.0,0.0,0.0,0.0
BEN,14,0.0,0.0,0.0,0.0
BEN,15,0.0,0.0,0.0,0.0
BEN,16,18230.0,0.0,0.0,7.377948436642896
BEN,17,0.0,0.0,0.0,0.0
BEN,18,0.0,0.0,0.0,0.0
BEN,19,3864.0,0.0,0.0,10.0
BEN,20,199429.0,0.0,0.0,10.0
BEN,21,3183126.0,0.0,0.0,10.0
BFA,1,0.0,0.0,0.0,0.0
BFA,2,3728112.0,3110.0,0.08342024059363023,10.08342024059363
BFA,3,100866.0,778.0,0.7713203656336128,10.77132036563361
BFA,4,0.0,0.0,0.0,0.0
BFA,5,0.0,0.0,0.0,0.0
BFA,6,17867.0,0.0,0.0,10.0
BFA,7,0.0,0.0,0.0,0.0
BFA,8,260.0,0.0,0.0,10.0
BFA,9,0.0,0.0,0.0,0.0
BFA,10,5507.0,0.0,0.0,10.0
BFA,11,15141.0,1294.0,8.546331153820752,18.546331153820752
BFA,12,1150.0,300.0,26.08695652173913,36.086956521739125
BFA,13,3520.0,0.0,0.0,10.0
BFA,14,2020.0,0.0,0.0,10.0
BFA,15,11556.0,298.0,2.578746971270336,12.578746971270336
BFA,16,193754.0,3597.0,1.856477801748609,20.052489238931845
BFA,17,160301.0,3731.0,2.3274963974023866,24.878291464183008
BFA,18,0.0,0.0,0.0,0.0
BFA,19,0.0,0.0,0.0,0.0
BFA,20,5534.0,0.0,0.0,10.0
BFA,21,275078.0,0.0,0.0,10.0
