iso3,HS_Section,impVal
DNK,15,405971708.0
DNK,16,2225863506.0
DNK,17,224862427.0
DNK,18,1609496549.0
DNK,19,47580444.0
DNK,20,161380559.0
DNK,21,427374032.0
DOM,1,5673803.0
DOM,2,213171953.0
DOM,3,6864849.0
DOM,4,1626712303.0
DOM,5,14659309.0
DOM,6,212688306.0
DOM,7,298630244.0
DOM,8,26335747.0
DOM,9,1992579.0
DOM,10,74839159.0
DOM,11,732044441.0
DOM,12,137438208.0
DOM,13,9938176.0
DOM,14,509281412.0
DOM,15,238448357.0
DOM,16,1195451417.0
DOM,17,29262573.0
DOM,18,1725246690.0
DOM,20,126536633.0
DOM,21,320214679.0
DZA,2,14511895.0
DZA,3,199178.0
DZA,4,425763.0
DZA,5,2098347431.0
DZA,6,234782594.0
DZA,7,1996042.0
DZA,8,10887.0
DZA,10,51017.0
DZA,11,3274.0
DZA,13,1163873.0
DZA,14,6002770.0
DZA,15,76789611.0
DZA,16,803656.0
DZA,17,18429.0
DZA,18,95489.0
DZA,20,17539.0
DZA,21,26391694.0
ECU,1,1362107209.0
ECU,2,1408728028.0
ECU,3,16271887.0
ECU,4,930929363.0
ECU,5,3609307192.0
ECU,6,4964619.0
ECU,7,67453415.0
ECU,8,605723.0
ECU,9,112664562.0
ECU,10,12461719.0
ECU,11,6718739.0
ECU,12,3584854.0
ECU,13,11459648.0
ECU,14,440849185.0
ECU,15,83920141.0
ECU,16,84939592.0
ECU,17,515917.0
ECU,18,1187501.0
ECU,20,9065653.0
ECU,21,356571316.0
EGY,1,15020280.0
EGY,2,212527132.0
EGY,3,3357637.0
EGY,4,205746384.0
EGY,5,93033559.0
EGY,6,216790738.0
EGY,7,71915049.0
EGY,8,300064.0
EGY,9,1598469.0
EGY,10,11486543.0
EGY,11,1350172984.0
EGY,12,951230.0
EGY,13,60344671.0
EGY,14,248107.0
EGY,15,180223620.0
EGY,16,32005090.0
EGY,17,1195349.0
EGY,18,3370769.0
EGY,19,7084.0
EGY,20,12180207.0
EGY,21,73525175.0
ERI,4,134386.0
ERI,6,32733.0
ERI,7,264.0
ERI,10,5219.0
ERI,11,31349.0
ERI,12,814.0
ERI,14,2116.0
ERI,15,110538.0
ERI,16,370438.0
ERI,17,11143.0
ERI,18,4039.0
ERI,21,149879.0
ESP,1,545915341.0
ESP,2,499857117.0
ESP,3,1380897203.0
ESP,4,1527405687.0
ESP,5,1207442489.0
ESP,6,4853292861.0
ESP,7,792449405.0
ESP,8,222987218.0
ESP,9,154141420.0
ESP,10,305875999.0
ESP,11,138982259.0
ESP,12,218517782.0
ESP,13,949364786.0
ESP,14,156578824.0
ESP,15,1344147381.0
ESP,16,4210842737.0
ESP,17,839540115.0
ESP,18,431598505.0
ESP,19,131292761.0
ESP,20,408983944.0
ESP,21,958627408.0
EST,1,6314234.0
EST,2,2374698.0
EST,3,11604.0
EST,4,16066502.0
EST,5,7426781.0
EST,6,72493118.0
EST,7,9181361.0
EST,8,165295.0
EST,9,65894865.0
EST,10,952021.0
EST,11,8421917.0
EST,12,420887.0
EST,13,965050.0
EST,14,212539.0
EST,15,32230931.0
EST,16,515358627.0
EST,17,10079651.0
EST,18,216641128.0
EST,19,74827.0
EST,20,82219821.0
EST,21,17898123.0
ETH,2,182344184.0
ETH,3,707890.0
ETH,4,31292874.0
ETH,5,150138.0
ETH,6,79030.0
ETH,7,289984.0
ETH,8,3303591.0
ETH,9,38355.0
ETH,10,31459.0
ETH,11,160410541.0
ETH,12,2062476.0
ETH,13,2078731.0
