iso3,HS2,impVal
BEL,21,57703980.0
BEL,22,50560445.0
BEL,23,33824777.0
BEL,24,3373423.0
BEL,25,6758870.0
BEL,26,1148956.0
BEL,27,901354439.0
BEL,28,316002824.0
BEL,29,1094714281.0
BEL,30,12369792990.0
BEL,31,95349797.0
BEL,32,117231527.0
BEL,33,74658542.0
BEL,34,48031352.0
BEL,35,88524217.0
BEL,36,662144.0
BEL,37,88658553.0
BEL,38,304925593.0
BEL,39,586406557.0
BEL,40,26876940.0
BEL,41,1017300.0
BEL,42,3390974.0
BEL,43,98641.0
BEL,44,67348511.0
BEL,45,64152.0
BEL,46,37561.0
BEL,47,10830.0
BEL,48,50171593.0
BEL,49,27304279.0
BEL,50,6996.0
BEL,51,15812068.0
BEL,52,1663756.0
BEL,53,34131533.0
BEL,54,16335243.0
BEL,55,12161463.0
BEL,56,13353327.0
BEL,57,42206464.0
BEL,58,11496836.0
BEL,59,28680929.0
BEL,60,1081494.0
BEL,61,1854701.0
BEL,62,2146521.0
BEL,63,8619611.0
BEL,64,2607812.0
BEL,65,713980.0
BEL,66,1959400.0
BEL,67,102173.0
BEL,68,44826214.0
BEL,69,5363756.0
BEL,70,77434031.0
BEL,71,2270731499.0
BEL,72,377088183.0
BEL,73,94628300.0
BEL,74,15627114.0
BEL,75,25619189.0
BEL,76,157176244.0
BEL,78,17863.0
BEL,79,52067718.0
BEL,80,11825542.0
BEL,81,28878997.0
BEL,82,12280354.0
BEL,83,17209683.0
BEL,84,1573852469.0
BEL,85,600557533.0
BEL,86,3027017.0
BEL,87,1426050789.0
BEL,88,60543499.0
BEL,89,764284.0
BEL,90,197014241.0
BEL,91,595015.0
BEL,92,694837.0
BEL,93,38670114.0
BEL,94,54493706.0
BEL,95,40575859.0
BEL,96,6047160.0
BEL,97,392765358.0
BEL,98,2465315148.0
BEL,99,91533729.0
BEN,1,63248.0
BEN,8,12606597.0
BEN,12,234068.0
BEN,15,3530.0
BEN,20,434535.0
BEN,23,28944925.0
BEN,44,133525.0
BEN,49,4466.0
BEN,52,1374.0
BEN,61,2790312.0
BEN,62,2175.0
BEN,84,10000.0
BEN,85,8230.0
BEN,93,3864.0
BEN,94,199429.0
BEN,97,94011.0
BEN,98,3040125.0
BEN,99,48990.0
BFA,8,3722478.0
BFA,9,5634.0
BFA,15,100866.0
BFA,33,17867.0
BFA,42,260.0
BFA,49,5507.0
BFA,52,4430.0
BFA,58,1095.0
BFA,61,253.0
BFA,62,9363.0
BFA,64,1150.0
BFA,68,3520.0
BFA,71,2020.0
BFA,83,11556.0
BFA,84,149650.0
BFA,85,44104.0
BFA,87,160301.0
BFA,94,2669.0
BFA,95,2865.0
BFA,97,106246.0
BFA,98,115533.0
BFA,99,53299.0
BGD,3,18958533.0
BGD,4,295899.0
BGD,5,1479942.0
BGD,7,1076245.0
BGD,8,122065.0
BGD,9,1996637.0
BGD,10,1435221.0
BGD,11,206910.0
BGD,12,211865.0
BGD,15,231836.0
BGD,16,80828.0
BGD,17,634058.0
BGD,18,13786.0
BGD,19,10932990.0
BGD,20,787615.0
BGD,21,805478.0
BGD,22,637953.0
BGD,23,33442.0
BGD,24,12258998.0
BGD,29,413566.0
BGD,30,20562984.0
BGD,33,667546.0
BGD,34,129743.0
BGD,38,3720.0
BGD,39,22212307.0
BGD,40,528526.0
BGD,41,128812.0
BGD,42,100463571.0
BGD,43,729733.0
BGD,44,187606.0
BGD,46,3094939.0
BGD,48,3569176.0
BGD,49,1221369.0
BGD,51,421.0
BGD,52,160803.0
BGD,53,11812275.0
BGD,54,27511.0
BGD,55,925.0
BGD,56,6443175.0
BGD,57,3749757.0
BGD,58,119243.0
BGD,59,2719789.0
BGD,60,2540.0
BGD,61,2497893202.0
BGD,62,4557485301.0
BGD,63,178740717.0
BGD,64,243478328.0
BGD,65,324095524.0
BGD,66,343035.0
BGD,67,125760509.0
BGD,68,1383977.0
BGD,69,2763978.0
BGD,70,2609792.0
BGD,71,661868.0
BGD,73,2066896.0
BGD,74,2953.0
BGD,76,489724.0
BGD,79,135007.0
BGD,80,3455.0
BGD,82,78020.0
BGD,83,1116100.0
BGD,84,4064816.0
BGD,85,8609604.0
BGD,87,4259086.0
BGD,89,82560.0
BGD,90,35843866.0
BGD,94,20195084.0
BGD,95,17924384.0
BGD,96,8667422.0
BGD,97,186029.0
BGD,98,26628756.0
BGD,99,69045996.0
BGR,1,120307.0
BGR,3,196646.0
BGR,4,17086610.0
BGR,5,329275.0
BGR,6,59076.0
BGR,7,457194.0
BGR,8,2578750.0
BGR,9,1361527.0
BGR,10,110258.0
BGR,11,152470.0
BGR,12,65904693.0
BGR,13,786459.0
BGR,14,70000.0
BGR,15,806950.0
BGR,16,1783839.0
BGR,17,2329280.0
BGR,18,1729373.0
BGR,19,13503519.0
BGR,20,19264670.0
BGR,21,2845140.0
BGR,22,4431271.0
BGR,23,7318598.0
BGR,24,8959067.0
BGR,25,629059.0
BGR,27,88493990.0
BGR,28,417455.0
BGR,29,66218608.0
BGR,30,7393659.0
BGR,31,13540374.0
BGR,32,711933.0
BGR,33,29331380.0
BGR,34,3445877.0
BGR,35,12988572.0
BGR,38,1309481.0
BGR,39,23513335.0
BGR,40,3468488.0
BGR,42,2733092.0
BGR,43,319900.0
BGR,44,747025.0
BGR,45,1093277.0
BGR,48,3726819.0
BGR,49,1969373.0
BGR,51,5451165.0
BGR,52,88768.0
BGR,53,40771.0
BGR,54,112609.0
BGR,55,462605.0
