hs_code,mapping_type,hs_code_2021,naics_2021,hs_code_2022,naics_2022,hs_code_2023,naics_2023,hs_code_2024,naics_2024
4407230100,partial_coverage,,,4407230100,321113,4407230100,321113,4407230100,321113
6505001540,inconsistent_naics,6505001540,315190,6505001540,315190,6505001540,315120,6505001540,315120
8549390000,partial_coverage,,,8549390000,910000,8549390000,910000,8549390000,910000
4403210120,partial_coverage,,,4403210120,113310,4403210120,113310,4403210120,113310
6103291040,inconsistent_naics,6103291040,315220,6103291040,315220,6103291040,315250,6103291040,315250
6104292083,inconsistent_naics,6104292083,315240,6104292083,315240,6104292083,315250,6104292083,315250
6211495030,inconsistent_naics,6211495030,315240,6211495030,315240,6211495030,315250,6211495030,315250
6205202076,inconsistent_naics,6205202076,315220,6205202076,315220,6205202076,315250,6205202076,315250
6211335061,inconsistent_naics,6211335061,315220,6211335061,315220,6211335061,315250,6211335061,315250
1515908090,partial_coverage,1515908090,311224,,,,,,
5703310085,partial_coverage,,,5703310085,314110,5703310085,314110,5703310085,314110
6108210020,inconsistent_naics,6108210020,315240,6108210020,315240,6108210020,315250,6108210020,315250
