Country,iso3,HS_Section,summary_code,impVal,bea_total,weight
Andorra,AND,18,334,48329.0,1548232.0,0.03121560592986064
Andorra,AND,16,335,27334.0,27334.0,1.0
Andorra,AND,16,3364OT,8506.0,24995.0,0.34030806161232247
Andorra,AND,17,3364OT,16489.0,24995.0,0.6596919383876776
Andorra,AND,20,337,30176.0,30176.0,1.0
Andorra,AND,7,339,832.0,917227.0,0.0009070818892160828
Andorra,AND,12,339,2925.0,917227.0,0.003188959766775291
Andorra,AND,14,339,115500.0,917227.0,0.12592302668804997
Andorra,AND,18,339,386843.0,917227.0,0.42175273950723213
Andorra,AND,20,339,411127.0,917227.0,0.44822819214872656
Andorra,AND,10,Other,101100.0,436774.0,0.23146982192163454
Andorra,AND,21,Other,335674.0,436774.0,0.7685301780783654
Anguilla,AIA,4,311FT,235930.0,235930.0,1.0
Anguilla,AIA,11,313TT,2056.0,2056.0,1.0
Anguilla,AIA,8,315AL,1154.0,165172.0,0.006986656334003342
Anguilla,AIA,11,315AL,535.0,165172.0,0.0032390477804954835
Anguilla,AIA,12,315AL,163483.0,165172.0,0.9897742958855011
Anguilla,AIA,6,325,53405.0,53405.0,1.0
Anguilla,AIA,7,326,68858.0,68858.0,1.0
Anguilla,AIA,13,327,55328.0,55328.0,1.0
Anguilla,AIA,16,333,3666.0,3666.0,1.0
Anguilla,AIA,16,335,22329.0,24329.0,0.9177935796785729
Anguilla,AIA,20,335,2000.0,24329.0,0.08220642032142711
Anguilla,AIA,16,3364OT,108000.0,108000.0,1.0
Anguilla,AIA,20,337,13340.0,13340.0,1.0
Anguilla,AIA,14,Other,86640.0,460514.0,0.1881376027656054
Anguilla,AIA,15,Other,61162.0,460514.0,0.1328124660705212
Anguilla,AIA,16,Other,33715.0,460514.0,0.07321167217500445
Anguilla,AIA,21,Other,278997.0,460514.0,0.605838258988869
Antigua and Barbuda,ATG,5,212,54800.0,54800.0,1.0
Antigua and Barbuda,ATG,4,311FT,234213.0,234213.0,1.0
Antigua and Barbuda,ATG,11,313TT,65143.0,65143.0,1.0
Antigua and Barbuda,ATG,8,315AL,3920.0,7300.0,0.536986301369863
Antigua and Barbuda,ATG,11,315AL,3380.0,7300.0,0.46301369863013697
Antigua and Barbuda,ATG,10,323,205042.0,205042.0,1.0
Antigua and Barbuda,ATG,5,324,1393295.0,1393295.0,1.0
Antigua and Barbuda,ATG,6,325,3581.0,3581.0,1.0
Antigua and Barbuda,ATG,7,326,289.0,289.0,1.0
Antigua and Barbuda,ATG,13,327,13457.0,13457.0,1.0
Antigua and Barbuda,ATG,15,331,1395289.0,1395289.0,1.0
Antigua and Barbuda,ATG,15,332,5243.0,5243.0,1.0
Antigua and Barbuda,ATG,16,333,65507.0,65507.0,1.0
Antigua and Barbuda,ATG,16,334,17690.0,247705.0,0.07141559516360187
Antigua and Barbuda,ATG,18,334,230015.0,247705.0,0.9285844048363981
Antigua and Barbuda,ATG,16,335,14871.0,14871.0,1.0
Antigua and Barbuda,ATG,17,3361MV,9049.0,9049.0,1.0
Antigua and Barbuda,ATG,7,339,5672.0,81141.0,0.06990300834350081
Antigua and Barbuda,ATG,14,339,22477.0,81141.0,0.2770116217448639
Antigua and Barbuda,ATG,16,339,3700.0,81141.0,0.045599635202918376
Antigua and Barbuda,ATG,20,339,49292.0,81141.0,0.6074857347087169
Antigua and Barbuda,ATG,10,Other,10300.0,19955625.0,0.0005161451971561903
Antigua and Barbuda,ATG,14,Other,338389.0,19955625.0,0.01695707350684331
Antigua and Barbuda,ATG,15,Other,1254767.0,19955625.0,0.0628778602524351
Antigua and Barbuda,ATG,16,Other,44707.0,19955625.0,0.0022403207115788155
Antigua and Barbuda,ATG,21,Other,18307462.0,19955625.0,0.9174086003319866
Argentina,ARG,1,111CA,158601683.0,527412567.0,0.30071654132579667
Argentina,ARG,2,111CA,354436873.0,527412567.0,0.6720296314061853
Argentina,ARG,4,111CA,13098411.0,527412567.0,0.02483522733351934
Argentina,ARG,8,111CA,1275600.0,527412567.0,0.0024185999344987167
Argentina,ARG,1,113FF,342683168.0,358173999.0,0.9567505429114077
Argentina,ARG,2,113FF,8522198.0,358173999.0,0.023793457994699386
Argentina,ARG,4,113FF,6968633.0,358173999.0,0.01945599909389291
Argentina,ARG,5,211,1411244779.0,1411244779.0,1.0
Argentina,ARG,5,212,4811175.0,4811175.0,1.0
Argentina,ARG,1,311FT,279990076.0,1395152608.0,0.20068777737610766
Argentina,ARG,2,311FT,130660001.0,1395152608.0,0.0936528378693322
Argentina,ARG,3,311FT,340384429.0,1395152608.0,0.2439764847574295
Argentina,ARG,4,311FT,629132253.0,1395152608.0,0.45094153097838025
Argentina,ARG,6,311FT,14888560.0,1395152608.0,0.0106716354287172
Argentina,ARG,8,311FT,97289.0,1395152608.0,6.973359003318438e-05
Argentina,ARG,8,313TT,40233.0,1457412.0,0.0276057834023598
Argentina,ARG,11,313TT,1187488.0,1457412.0,0.8147922481769053
Argentina,ARG,12,313TT,1120.0,1457412.0,0.0007684855071867117
Argentina,ARG,13,313TT,3445.0,1457412.0,0.0023637790823734127
Argentina,ARG,20,313TT,225126.0,1457412.0,0.15446970383117473
Argentina,ARG,8,315AL,11667755.0,13578186.0,0.8593014560266004
Argentina,ARG,11,315AL,352446.0,13578186.0,0.02595678097206799
Argentina,ARG,12,315AL,1553692.0,13578186.0,0.11442559411102485
Argentina,ARG,20,315AL,4293.0,13578186.0,0.00031616889030684954
Argentina,ARG,9,321,101679620.0,101694220.0,0.9998564323518092
Argentina,ARG,20,321,14600.0,101694220.0,0.00014356764819082145
Argentina,ARG,7,322,12027.0,17636146.0,0.0006819517143938364
Argentina,ARG,10,322,17624119.0,17636146.0,0.9993180482856061
Argentina,ARG,10,323,598185.0,623271.0,0.9597510553194357
Argentina,ARG,16,323,13736.0,623271.0,0.02203856749311295
Argentina,ARG,20,323,11350.0,623271.0,0.018210377187451367
Argentina,ARG,5,324,284252335.0,333445206.0,0.8524709004213424
Argentina,ARG,6,324,49192871.0,333445206.0,0.14752909957865762
Argentina,ARG,3,325,3528633.0,983219421.0,0.0035888560830207605
Argentina,ARG,4,325,30271.0,983219421.0,3.078763433009935e-05
Argentina,ARG,5,325,16514291.0,983219421.0,0.016796139953382798
Argentina,ARG,6,325,940468073.0,983219421.0,0.9565190159115052
Argentina,ARG,7,325,21824204.0,983219421.0,0.022196677093505052
Argentina,ARG,9,325,280591.0,983219421.0,0.00028537983893220923
Argentina,ARG,11,325,568358.0,983219421.0,0.0005780581504603946
Argentina,ARG,20,325,5000.0,983219421.0,5.085334863417023e-06
Argentina,ARG,7,326,22578289.0,23422810.0,0.9639445053774505
Argentina,ARG,8,326,700.0,23422810.0,2.9885398037212442e-05
Argentina,ARG,12,326,399.0,23422810.0,1.703467688121109e-05
Argentina,ARG,16,326,98723.0,23422810.0,0.0042148230720396055
Argentina,ARG,20,326,744699.0,23422810.0,0.03179375147559153
Argentina,ARG,6,327,20160.0,2506347.0,0.008043578961731955
Argentina,ARG,13,327,2096099.0,2506347.0,0.8363163600251681
Argentina,ARG,16,327,358962.0,2506347.0,0.14322119004271955
Argentina,ARG,17,327,29282.0,2506347.0,0.011683138847094996
Argentina,ARG,20,327,1844.0,2506347.0,0.0007357321232854031
Argentina,ARG,14,331,800576521.0,1423421334.0,0.5624311662874093
Argentina,ARG,15,331,611569825.0,1423421334.0,0.42964778621197763
Argentina,ARG,16,331,11274988.0,1423421334.0,0.007921047500613055
Argentina,ARG,6,332,375000.0,43222037.0,0.008676129725214015
Argentina,ARG,15,332,28308100.0,43222037.0,0.654945994331549
Argentina,ARG,16,332,11414613.0,43222037.0,0.2640924350696382
Argentina,ARG,17,332,132165.0,43222037.0,0.0030578151603544274
Argentina,ARG,18,332,73076.0,43222037.0,0.0016907116154659717
Argentina,ARG,19,332,2757852.0,43222037.0,0.06380661790650913
Argentina,ARG,20,332,161231.0,43222037.0,0.0037302961912692822
Argentina,ARG,15,333,336459.0,89087006.0,0.0037767460722610883
Argentina,ARG,16,333,87101431.0,89087006.0,0.977711957229767
Argentina,ARG,17,333,96758.0,89087006.0,0.0010861067662325525
Argentina,ARG,18,333,810730.0,89087006.0,0.009100429303909932
Argentina,ARG,20,333,113917.0,89087006.0,0.001278716224900408
Argentina,ARG,21,333,627711.0,89087006.0,0.0070460444029289745
Argentina,ARG,16,334,5310540.0,10768738.0,0.49314413629526505
Argentina,ARG,18,334,5458198.0,10768738.0,0.5068558637047349
Argentina,ARG,13,335,44523.0,11443862.0,0.0038905572262231056
Argentina,ARG,15,335,323134.0,11443862.0,0.02823644675197936
Argentina,ARG,16,335,10635439.0,11443862.0,0.9293575018643182
Argentina,ARG,20,335,440766.0,11443862.0,0.03851549415747935
Argentina,ARG,16,3361MV,24036192.0,30950537.0,0.7766001604430967
Argentina,ARG,17,3361MV,6662822.0,30950537.0,0.21527322773107296
Argentina,ARG,20,3361MV,251523.0,30950537.0,0.008126611825830356
Argentina,ARG,16,3364OT,7500231.0,9822302.0,0.7635919767077005
Argentina,ARG,17,3364OT,2296909.0,9822302.0,0.2338463020175922
Argentina,ARG,21,3364OT,25162.0,9822302.0,0.0025617212747072937
Argentina,ARG,15,337,167413.0,4237058.0,0.03951161395477711
Argentina,ARG,18,337,7631.0,4237058.0,0.0018010138166624106
Argentina,ARG,20,337,4062014.0,4237058.0,0.9586873722285605
Argentina,ARG,6,339,88817.0,4820258.0,0.018425777209435678
Argentina,ARG,7,339,300971.0,4820258.0,0.062438774024129
Argentina,ARG,8,339,1321.0,4820258.0,0.00027405172088299006
Argentina,ARG,12,339,4850.0,4820258.0,0.0010061702091464814
Argentina,ARG,14,339,437277.0,4820258.0,0.09071651351442184
Argentina,ARG,15,339,496640.0,4820258.0,0.10303182941659969
Argentina,ARG,16,339,340203.0,4820258.0,0.07057775745613616
Argentina,ARG,18,339,2147501.0,4820258.0,0.4455157794458305
Argentina,ARG,20,339,1002678.0,4820258.0,0.20801334700341767
Argentina,ARG,6,Other,3003.0,290009890.0,1.0354819278749425e-05
Argentina,ARG,7,Other,20455.0,290009890.0,7.053207737156825e-05
Argentina,ARG,10,Other,20000.0,290009890.0,6.896316535963653e-05
Argentina,ARG,11,Other,5012.0,290009890.0,1.7282169239124913e-05
Argentina,ARG,14,Other,875360.0,290009890.0,0.0030183798214605717
Argentina,ARG,15,Other,288731.0,290009890.0,0.0009955901848726608
Argentina,ARG,17,Other,71800.0,290009890.0,0.00024757776364109515
Argentina,ARG,21,Other,288725529.0,290009890.0,0.9955713199987766
Armenia,ARM,1,111CA,311624.0,526718.0,0.5916334736993989
Armenia,ARM,2,111CA,215094.0,526718.0,0.4083665263006011
Armenia,ARM,1,113FF,96196.0,100804.0,0.9542875282726876
Armenia,ARM,2,113FF,4608.0,100804.0,0.04571247172731241
Armenia,ARM,5,212,89580.0,89580.0,1.0
Armenia,ARM,1,311FT,1673420.0,18935293.0,0.08837571195755989
Armenia,ARM,2,311FT,842515.0,18935293.0,0.04449442636034204
Armenia,ARM,3,311FT,23051.0,18935293.0,0.0012173563936929838
Armenia,ARM,4,311FT,16396307.0,18935293.0,0.8659125052884051
Armenia,ARM,8,313TT,1208.0,230105.0,0.005249777275591578
Armenia,ARM,11,313TT,177819.0,230105.0,0.772773299146042
Armenia,ARM,20,313TT,51078.0,230105.0,0.2219769235783664
Armenia,ARM,8,315AL,213368.0,8267713.0,0.0258073786547743
