naics,naics22,mapping_type
424110,424110,self_mapping
424120,424120,self_mapping
424130,424130,self_mapping
424210,424210,self_mapping
424310,424310,self_mapping
424340,424340,self_mapping
424330,424350,official_crosswalk
424320,424350,official_crosswalk
424410,424410,self_mapping
424420,424420,self_mapping
424430,424430,self_mapping
424440,424440,self_mapping
424450,424450,self_mapping
424460,424460,self_mapping
424470,424470,self_mapping
424480,424480,self_mapping
424490,424490,self_mapping
424510,424510,self_mapping
424520,424520,self_mapping
424590,424590,self_mapping
424610,424610,self_mapping
424690,424690,self_mapping
424710,424710,self_mapping
424720,424720,self_mapping
424810,424810,self_mapping
424820,424820,self_mapping
424910,424910,self_mapping
424920,424920,self_mapping
424930,424930,self_mapping
424940,424940,self_mapping
424950,424950,self_mapping
424990,424990,self_mapping
425110,425120,official_crosswalk
441110,441110,self_mapping
441120,441120,self_mapping
441210,441210,self_mapping
441222,441222,self_mapping
454110,441227,official_crosswalk
441228,441227,official_crosswalk
441310,441330,official_crosswalk
454110,441330,official_crosswalk
454390,441330,official_crosswalk
441320,441340,official_crosswalk
454110,441340,official_crosswalk
454390,441340,official_crosswalk
444110,444110,self_mapping
444120,444120,self_mapping
444130,444140,official_crosswalk
454110,444140,official_crosswalk
454390,444140,official_crosswalk
454390,444180,official_crosswalk
444190,444180,official_crosswalk
454110,444180,official_crosswalk
444210,444230,official_crosswalk
454110,444230,official_crosswalk
454390,444230,official_crosswalk
454110,444240,official_crosswalk
454390,444240,official_crosswalk
444220,444240,official_crosswalk
445110,445110,self_mapping
454110,445131,official_crosswalk
454390,445131,official_crosswalk
445120,445131,official_crosswalk
454210,445132,official_crosswalk
445230,445230,self_mapping
445210,445240,official_crosswalk
454390,445240,official_crosswalk
454110,445240,official_crosswalk
454110,445250,official_crosswalk
454390,445250,official_crosswalk
445220,445250,official_crosswalk
445291,445291,self_mapping
445292,445292,self_mapping
445299,445298,official_crosswalk
454110,445298,official_crosswalk
454390,445298,official_crosswalk
454390,445320,official_crosswalk
445310,445320,official_crosswalk
454110,445320,official_crosswalk
442110,449110,official_crosswalk
454110,449110,official_crosswalk
454390,449110,official_crosswalk
442210,449121,official_crosswalk
454110,449121,official_crosswalk
454390,449121,official_crosswalk
454110,449122,official_crosswalk
442291,449122,official_crosswalk
454390,449122,official_crosswalk
442299,449129,official_crosswalk
454110,449129,official_crosswalk
454390,449129,official_crosswalk
443142,449210,official_crosswalk
454390,449210,official_crosswalk
443141,449210,official_crosswalk
454110,449210,official_crosswalk
454110,455110,official_crosswalk
452210,455110,official_crosswalk
452311,455211,official_crosswalk
454110,455211,official_crosswalk
452319,455219,official_crosswalk
453998,455219,official_crosswalk
454390,455219,official_crosswalk
454110,455219,official_crosswalk
454110,456110,official_crosswalk
446110,456110,official_crosswalk
454390,456110,official_crosswalk
454110,456120,official_crosswalk
446120,456120,official_crosswalk
454390,456120,official_crosswalk
446130,456130,official_crosswalk
454390,456130,official_crosswalk
454110,456130,official_crosswalk
446191,456191,official_crosswalk
454110,456191,official_crosswalk
454390,456191,official_crosswalk
446199,456199,official_crosswalk
454110,456199,official_crosswalk
454390,456199,official_crosswalk
447110,457110,official_crosswalk
447190,457120,official_crosswalk
454310,457210,official_crosswalk
448150,458110,official_crosswalk
448140,458110,official_crosswalk
448110,458110,official_crosswalk
454390,458110,official_crosswalk
448190,458110,official_crosswalk
448120,458110,official_crosswalk
454110,458110,official_crosswalk
448130,458110,official_crosswalk
448210,458210,official_crosswalk
454390,458210,official_crosswalk
454110,458210,official_crosswalk
454390,458310,official_crosswalk
448310,458310,official_crosswalk
454110,458310,official_crosswalk
448320,458320,official_crosswalk
454390,458320,official_crosswalk
454110,458320,official_crosswalk
454390,459110,official_crosswalk
454110,459110,official_crosswalk
451110,459110,official_crosswalk
451120,459120,official_crosswalk
454390,459120,official_crosswalk
454110,459120,official_crosswalk
454390,459130,official_crosswalk
454110,459130,official_crosswalk
451130,459130,official_crosswalk
454390,459140,official_crosswalk
451140,459140,official_crosswalk
454110,459140,official_crosswalk
454110,459210,official_crosswalk
451211,459210,official_crosswalk
451212,459210,official_crosswalk
454390,459210,official_crosswalk
