summary_code,HS_total_imports,TiVA_total_imports,region,difference,summary_name
GSLE,0.0,0,RoAsia,0.0,State and local government enterprises
GSLG,0.0,0,RoAsia,0.0,State and local general government
HS,0.0,0,RoAsia,0.0,Housing
ORE,0.0,0,RoAsia,0.0,Other real estate
Other,21222924595.0,44939000000,RoAsia,-23716075405.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,2690000000,RoAsia,-2690000000.0,"Scrap, used and secondhand goods"
111CA,24426237115.0,22530000000,RoWorld,1896237115.0,Farms
113FF,3333627057.0,4845000000,RoWorld,-1511372943.0,"Forestry, fishing, and related activities"
211,54963976987.0,51588000000,RoWorld,3375976987.0,Oil and gas extraction
212,2495660275.0,2930000000,RoWorld,-434339725.0,"Mining, except oil and gas"
213,0.0,865000000,RoWorld,-865000000.0,Support activities for mining
22,0.0,14000000,RoWorld,-14000000.0,Utilities
23,0.0,0,RoWorld,0.0,Construction
311FT,19107368221.0,17872000000,RoWorld,1235368221.0,Food and beverage and tobacco products
313TT,1069943071.0,1011000000,RoWorld,58943071.0,Textile mills and textile product mills
315AL,15249611409.0,16599000000,RoWorld,-1349388591.0,Apparel and leather and allied products
321,3145186146.0,3374000000,RoWorld,-228813854.0,Wood products
322,2845318009.0,2439000000,RoWorld,406318009.0,Paper products
323,124107494.0,-25000000,RoWorld,149107494.0,Printing and related support activities
324,14482611495.0,19948000000,RoWorld,-5465388505.0,Petroleum and coal products
325,13168254828.0,45326000000,RoWorld,-32157745172.0,Chemical products
326,3247945367.0,3286000000,RoWorld,-38054633.0,Plastics and rubber products
327,2081091982.0,2536000000,RoWorld,-454908018.0,Nonmetallic mineral products
331,33479141233.0,23488000000,RoWorld,9991141233.0,Primary metals
332,3004989549.0,2428000000,RoWorld,576989549.0,Fabricated metal products
333,5585918139.0,6156000000,RoWorld,-570081861.0,Machinery
334,12579408394.0,7287000000,RoWorld,5292408394.0,Computer and electronic products
335,3966766507.0,4259000000,RoWorld,-292233493.0,"Electrical equipment, appliances, and components"
3361MV,5536004708.0,5122000000,RoWorld,414004708.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,3354825790.0,3284000000,RoWorld,70825790.0,Other transportation equipment
337,509095899.0,516000000,RoWorld,-6904101.0,Furniture and related products
339,17037840592.0,14109000000,RoWorld,2928840592.0,Miscellaneous manufacturing
42,0.0,0,RoWorld,0.0,Wholesale trade
441,0.0,0,RoWorld,0.0,Motor vehicle and parts dealers
445,0.0,0,RoWorld,0.0,Food and beverage stores
452,0.0,0,RoWorld,0.0,General merchandise stores
481,0.0,15116000000,RoWorld,-15116000000.0,Air transportation  
482,0.0,0,RoWorld,0.0,Rail transportation 
483,0.0,0,RoWorld,0.0,Water transportation
484,0.0,0,RoWorld,0.0,Truck transportation
485,0.0,0,RoWorld,0.0,Transit and ground passenger transportation 
486,0.0,0,RoWorld,0.0,Pipeline transportation
487OS,0.0,0,RoWorld,0.0,Other transportation and support activities
493,0.0,0,RoWorld,0.0,Warehousing and storage
4A0,0.0,0,RoWorld,0.0,Other retail
511,0.0,258000000,RoWorld,-258000000.0,"Publishing industries, except internet (includes software)"
512,0.0,1405000000,RoWorld,-1405000000.0,Motion picture and sound recording industries
513,0.0,9000000,RoWorld,-9000000.0,Broadcasting and telecommunications
514,0.0,239000000,RoWorld,-239000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,1601000000,RoWorld,-1601000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,4000000,RoWorld,-4000000.0,"Securities, commodity contracts, and investments"
524,0.0,40019000000,RoWorld,-40019000000.0,Insurance carriers and related activities
525,0.0,0,RoWorld,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,RoWorld,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,395000000,RoWorld,-395000000.0,Legal services
5412OP,0.0,12676000000,RoWorld,-12676000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,1821000000,RoWorld,-1821000000.0,Computer systems design and related services
55,0.0,0,RoWorld,0.0,Management of companies and enterprises
561,0.0,345000000,RoWorld,-345000000.0,Administrative and support services
562,0.0,34000000,RoWorld,-34000000.0,Waste management and remediation services
61,0.0,431000000,RoWorld,-431000000.0,Educational services
621,0.0,36000000,RoWorld,-36000000.0,Ambulatory health care services
622,0.0,815000000,RoWorld,-815000000.0,Hospitals
623,0.0,11000000,RoWorld,-11000000.0,Nursing and residential care facilities
624,0.0,0,RoWorld,0.0,Social assistance
711AS,0.0,671000000,RoWorld,-671000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,RoWorld,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,RoWorld,0.0,Accommodation
722,0.0,0,RoWorld,0.0,Food services and drinking places
81,0.0,462000000,RoWorld,-462000000.0,"Other services, except government"
GFE,0.0,0,RoWorld,0.0,Federal government enterprises
GFGD,0.0,0,RoWorld,0.0,Federal general government (defense)
GFGN,0.0,0,RoWorld,0.0,Federal general government (nondefense)
GSLE,0.0,0,RoWorld,0.0,State and local government enterprises
GSLG,0.0,0,RoWorld,0.0,State and local general government
HS,0.0,0,RoWorld,0.0,Housing
ORE,0.0,0,RoWorld,0.0,Other real estate
Other,13051705287.0,71605000000,RoWorld,-58553294713.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,1270000000,RoWorld,-1270000000.0,"Scrap, used and secondhand goods"
111CA,65887801115.0,57491000000,World Total,8396801115.0,Farms
113FF,16424068968.0,19273000000,World Total,-2848931032.0,"Forestry, fishing, and related activities"
211,176469457095.0,175855000000,World Total,614457095.0,Oil and gas extraction
212,5935961787.0,6443000000,World Total,-507038213.0,"Mining, except oil and gas"
213,0.0,1522000000,World Total,-1522000000.0,Support activities for mining
22,0.0,3475000000,World Total,-3475000000.0,Utilities
23,0.0,0,World Total,0.0,Construction
311FT,150603030830.0,145767000000,World Total,4836030830.0,Food and beverage and tobacco products
313TT,34050154692.0,35550000000,World Total,-1499845308.0,Textile mills and textile product mills
315AL,124259265511.0,146054000000,World Total,-21794734489.0,Apparel and leather and allied products
321,23264985834.0,24526000000,World Total,-1261014166.0,Wood products
322,26602217612.0,28123000000,World Total,-1520782388.0,Paper products
323,6790792233.0,3051000000,World Total,3739792233.0,Printing and related support activities
324,62168600005.0,80714000000,World Total,-18545399995.0,Petroleum and coal products
325,392477156963.0,350746000000,World Total,41731156963.0,Chemical products
326,76851995877.0,73801000000,World Total,3050995877.0,Plastics and rubber products
327,30102303143.0,32659000000,World Total,-2556696857.0,Nonmetallic mineral products
331,133847367683.0,101074000000,World Total,32773367683.0,Primary metals
332,98900744656.0,89620000000,World Total,9280744656.0,Fabricated metal products
333,250712838460.0,233261000000,World Total,17451838460.0,Machinery
334,539669631609.0,398905000000,World Total,140764631609.0,Computer and electronic products
335,204421071865.0,168783000000,World Total,35638071865.0,"Electrical equipment, appliances, and components"
3361MV,419215880100.0,418772000000,World Total,443880100.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,78162571947.0,57135000000,World Total,21027571947.0,Other transportation equipment
337,47650579648.0,49355000000,World Total,-1704420352.0,Furniture and related products
339,155493816563.0,124897000000,World Total,30596816563.0,Miscellaneous manufacturing
42,0.0,0,World Total,0.0,Wholesale trade
441,0.0,0,World Total,0.0,Motor vehicle and parts dealers
445,0.0,0,World Total,0.0,Food and beverage stores
452,0.0,0,World Total,0.0,General merchandise stores
481,0.0,64797000000,World Total,-64797000000.0,Air transportation  
482,0.0,0,World Total,0.0,Rail transportation 
483,0.0,0,World Total,0.0,Water transportation
484,0.0,0,World Total,0.0,Truck transportation
485,0.0,0,World Total,0.0,Transit and ground passenger transportation 
486,0.0,0,World Total,0.0,Pipeline transportation
487OS,0.0,27000000,World Total,-27000000.0,Other transportation and support activities
493,0.0,0,World Total,0.0,Warehousing and storage
4A0,0.0,0,World Total,0.0,Other retail
511,0.0,5673000000,World Total,-5673000000.0,"Publishing industries, except internet (includes software)"
512,0.0,14869000000,World Total,-14869000000.0,Motion picture and sound recording industries
513,0.0,115000000,World Total,-115000000.0,Broadcasting and telecommunications
514,0.0,2528000000,World Total,-2528000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,11591000000,World Total,-11591000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,42000000,World Total,-42000000.0,"Securities, commodity contracts, and investments"
524,0.0,64704000000,World Total,-64704000000.0,Insurance carriers and related activities
525,0.0,0,World Total,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,World Total,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,5581000000,World Total,-5581000000.0,Legal services
5412OP,0.0,120248000000,World Total,-120248000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,47174000000,World Total,-47174000000.0,Computer systems design and related services
55,0.0,0,World Total,0.0,Management of companies and enterprises
561,0.0,4348000000,World Total,-4348000000.0,Administrative and support services
562,0.0,517000000,World Total,-517000000.0,Waste management and remediation services
61,0.0,2506000000,World Total,-2506000000.0,Educational services
621,0.0,440000000,World Total,-440000000.0,Ambulatory health care services
622,0.0,10011000000,World Total,-10011000000.0,Hospitals
623,0.0,127000000,World Total,-127000000.0,Nursing and residential care facilities
624,0.0,0,World Total,0.0,Social assistance
711AS,0.0,2146000000,World Total,-2146000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,2000000,World Total,-2000000.0,"Amusements, gambling, and recreation industries"
721,0.0,0,World Total,0.0,Accommodation
722,0.0,0,World Total,0.0,Food services and drinking places
81,0.0,4505000000,World Total,-4505000000.0,"Other services, except government"
GFE,0.0,229000000,World Total,-229000000.0,Federal government enterprises
GFGD,0.0,0,World Total,0.0,Federal general government (defense)
GFGN,0.0,0,World Total,0.0,Federal general government (nondefense)
GSLE,0.0,0,World Total,0.0,State and local government enterprises
GSLG,0.0,0,World Total,0.0,State and local general government
HS,0.0,0,World Total,0.0,Housing
ORE,0.0,0,World Total,0.0,Other real estate
Other,147437063260.0,340030000000,World Total,-192592936740.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,19610000000,World Total,-19610000000.0,"Scrap, used and secondhand goods"
