Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Australia,336120,336211,4500.0,Oceana,1,,,336120,level_5,336211,exact,both_mapped_different
"Korea, South",212390,339910,4500.0,Asia,1,,,2123A0,level_5,339910,level_5,both_mapped_different
Lithuania,325320,325199,4500.0,Europe,1,,,325320,level_5,325190,level_5,both_mapped_different
Lithuania,333415,337127,4500.0,Europe,1,,,333415,exact,337127,exact,both_mapped_different
Philippines,334419,334310,4500.0,Asia,1,,,33441A,exact,334300,level_4,both_mapped_different
South Africa,325920,332993,4500.0,Africa,1,,,3259A0,level_5,33299A,exact,both_mapped_different
Tunisia,332215,332999,4500.0,Africa,1,,,332200,level_4,332999,exact,both_mapped_different
United Arab Emirates,334419,334413,4500.0,Asia,1,,,33441A,exact,334413,exact,both_mapped_different
Romania,334510,335999,4497.0,Europe,1,,,334510,exact,335999,exact,both_mapped_different
Austria,326199,314120,4496.0,Europe,2,,,326190,level_5,314120,level_5,both_mapped_different
Brazil,334510,335999,4490.0,South_America,1,,,334510,exact,335999,exact,both_mapped_different
Pakistan,990000,313210,4488.0,Asia,1,,,S00300,noncomparable_imports,313200,level_4,both_mapped_different
Philippines,332216,332111,4481.0,Asia,1,,,332200,level_4,33211A,exact,both_mapped_different
Australia,311421,311411,4478.0,Oceana,1,,,311420,level_5,311410,level_5,both_mapped_different
Turkmenistan,324191,325613,4467.0,Europe,1,,,324190,level_5,325610,level_5,both_mapped_different
Canada,325199,325613,4454.0,North_America,1,,,325190,level_5,325610,level_5,both_mapped_different
Egypt,326299,337215,4444.0,Africa,1,,,326290,level_5,337215,exact,both_mapped_different
Malaysia,335220,333414,4444.0,Asia,1,,,335220,exact,333414,exact,both_mapped_different
Portugal,325998,325620,4435.0,Europe,1,,,3259A0,level_5,325620,level_5,both_mapped_different
St Helena,335999,335929,4433.0,Africa,1,,,335999,exact,335920,level_5,both_mapped_different
