Country,iso3,HS_Section,sector_code,impVal,bea_total,weight
Albania,ALB,4,31ND,1854786.0,29320904.0,0.06325814511039632
Albania,ALB,6,31ND,4446363.0,29320904.0,0.15164481286115872
Albania,ALB,7,31ND,985369.0,29320904.0,0.03360636493335949
Albania,ALB,8,31ND,769131.0,29320904.0,0.026231489997716306
Albania,ALB,10,31ND,2748941.0,29320904.0,0.09375362369454912
Albania,ALB,11,31ND,11095571.0,29320904.0,0.37841844848985556
Albania,ALB,12,31ND,2131394.0,29320904.0,0.07269196065714754
Albania,ALB,20,31ND,14395.0,29320904.0,0.000490946663854566
Albania,ALB,6,33DG,2077.0,77770267.0,2.670686471990639e-05
Albania,ALB,7,33DG,20867.0,77770267.0,0.0002683159105008602
Albania,ALB,9,33DG,154854.0,77770267.0,0.0019911722818181914
Albania,ALB,12,33DG,35794.0,77770267.0,0.0004602530167473901
Albania,ALB,13,33DG,107717.0,77770267.0,0.0013850666090679618
Albania,ALB,14,33DG,99859.0,77770267.0,0.0012840254232379066
Albania,ALB,15,33DG,71099858.0,77770267.0,0.9142293159415281
Albania,ALB,16,33DG,1787694.0,77770267.0,0.022986856917952974
Albania,ALB,17,33DG,1216211.0,77770267.0,0.015638508737535903
Albania,ALB,18,33DG,44521.0,77770267.0,0.0005724681387553935
Albania,ALB,20,33DG,3200815.0,77770267.0,0.04115731015813537
Albania,ALB,11,Other,1483.0,1871498.0,0.0007924133501612078
Albania,ALB,14,Other,91393.0,1871498.0,0.04883414248906491
Albania,ALB,17,Other,32500.0,1871498.0,0.017365767957005566
Albania,ALB,21,Other,1746122.0,1871498.0,0.9330076762037683
Andorra,AND,4,31ND,2912.0,147589.0,0.019730467717783844
Andorra,AND,7,31ND,18838.0,147589.0,0.12763823862211954
Andorra,AND,8,31ND,1425.0,147589.0,0.009655191105028153
Andorra,AND,10,31ND,123903.0,147589.0,0.8395137849026689
Andorra,AND,11,31ND,511.0,147589.0,0.003462317652399569
Andorra,AND,7,33DG,832.0,2784886.0,0.0002987554966343326
Andorra,AND,12,33DG,2925.0,2784886.0,0.0010503122928550756
Andorra,AND,14,33DG,126665.0,2784886.0,0.045483010794696806
Andorra,AND,15,33DG,184945.0,2784886.0,0.06641025880413058
Andorra,AND,16,33DG,1565326.0,2784886.0,0.5620790222651842
Andorra,AND,17,33DG,20212.0,2784886.0,0.007257747713910013
Andorra,AND,18,33DG,442678.0,2784886.0,0.1589573145902561
Andorra,AND,20,33DG,441303.0,2784886.0,0.1584635780423328
Andorra,AND,10,Other,101100.0,436774.0,0.23146982192163454
Andorra,AND,21,Other,335674.0,436774.0,0.7685301780783654
Anguilla,AIA,4,31ND,235930.0,525421.0,0.44903039657722094
Anguilla,AIA,6,31ND,53405.0,525421.0,0.1016423020777624
Anguilla,AIA,7,31ND,68858.0,525421.0,0.1310530032107586
Anguilla,AIA,8,31ND,1154.0,525421.0,0.0021963339874119994
Anguilla,AIA,11,31ND,2591.0,525421.0,0.004931283675376507
Anguilla,AIA,12,31ND,163483.0,525421.0,0.31114668047146954
Anguilla,AIA,13,33DG,55328.0,204663.0,0.27033709072963846
Anguilla,AIA,16,33DG,133995.0,204663.0,0.6547104264082907
Anguilla,AIA,20,33DG,15340.0,204663.0,0.07495248286207082
Anguilla,AIA,14,Other,86640.0,460514.0,0.1881376027656054
Anguilla,AIA,15,Other,61162.0,460514.0,0.1328124660705212
Anguilla,AIA,16,Other,33715.0,460514.0,0.07321167217500445
Anguilla,AIA,21,Other,278997.0,460514.0,0.605838258988869
Antigua and Barbuda,ATG,5,21,54800.0,54800.0,1.0
Antigua and Barbuda,ATG,4,31ND,234213.0,1908863.0,0.12269764776204474
Antigua and Barbuda,ATG,5,31ND,1393295.0,1908863.0,0.7299083276274935
Antigua and Barbuda,ATG,6,31ND,3581.0,1908863.0,0.0018759858617407325
Antigua and Barbuda,ATG,7,31ND,289.0,1908863.0,0.00015139902654093037
Antigua and Barbuda,ATG,8,31ND,3920.0,1908863.0,0.0020535784914894363
Antigua and Barbuda,ATG,10,31ND,205042.0,1908863.0,0.10741577577856556
Antigua and Barbuda,ATG,11,31ND,68523.0,1908863.0,0.035897285452125165
Antigua and Barbuda,ATG,7,33DG,5672.0,1832262.0,0.003095627153758578
Antigua and Barbuda,ATG,13,33DG,13457.0,1832262.0,0.0073444736615178394
Antigua and Barbuda,ATG,14,33DG,22477.0,1832262.0,0.012267350411676932
Antigua and Barbuda,ATG,15,33DG,1400532.0,1832262.0,0.7643732173673853
Antigua and Barbuda,ATG,16,33DG,101768.0,1832262.0,0.055542275067648625
Antigua and Barbuda,ATG,17,33DG,9049.0,1832262.0,0.004938704180952287
Antigua and Barbuda,ATG,18,33DG,230015.0,1832262.0,0.125536085996435
Antigua and Barbuda,ATG,20,33DG,49292.0,1832262.0,0.0269022661606255
Antigua and Barbuda,ATG,10,Other,10300.0,19955625.0,0.0005161451971561903
Antigua and Barbuda,ATG,14,Other,338389.0,19955625.0,0.01695707350684331
Antigua and Barbuda,ATG,15,Other,1254767.0,19955625.0,0.0628778602524351
Antigua and Barbuda,ATG,16,Other,44707.0,19955625.0,0.0022403207115788155
Antigua and Barbuda,ATG,21,Other,18307462.0,19955625.0,0.9174086003319866
Argentina,ARG,1,11,501284851.0,885586566.0,0.566048391253487
Argentina,ARG,2,11,362959071.0,885586566.0,0.4098515999846366
Argentina,ARG,4,11,20067044.0,885586566.0,0.022659607508093118
Argentina,ARG,8,11,1275600.0,885586566.0,0.0014404012537832468
Argentina,ARG,5,21,1416055954.0,1416055954.0,1.0
Argentina,ARG,1,31ND,279990076.0,2768535060.0,0.10113293490312526
Argentina,ARG,2,31ND,130660001.0,2768535060.0,0.04719463476832401
Argentina,ARG,3,31ND,343913062.0,2768535060.0,0.12422203603952192
Argentina,ARG,4,31ND,629162524.0,2768535060.0,0.2272546709233294
Argentina,ARG,5,31ND,300766626.0,2768535060.0,0.10863746330884465
Argentina,ARG,6,31ND,1004549504.0,2768535060.0,0.36284514453647554
Argentina,ARG,7,31ND,44414520.0,2768535060.0,0.01604260702409165
Argentina,ARG,8,31ND,11805977.0,2768535060.0,0.004264340795453029
Argentina,ARG,9,31ND,280591.0,2768535060.0,0.00010134998976679024
Argentina,ARG,10,31ND,18222304.0,2768535060.0,0.006581930011751414
Argentina,ARG,11,31ND,2108292.0,2768535060.0,0.0007615189818112688
Argentina,ARG,12,31ND,1555211.0,2768535060.0,0.0005617450985070784
Argentina,ARG,13,31ND,3445.0,2768535060.0,1.2443403913403935e-06
Argentina,ARG,16,31ND,112459.0,2768535060.0,4.062039943969501e-05
Argentina,ARG,20,31ND,990468.0,2768535060.0,0.0003577588791669483
Argentina,ARG,6,33DG,483977.0,1731973699.0,0.00027943669137668587
Argentina,ARG,7,33DG,300971.0,1731973699.0,0.0001737734240270354
Argentina,ARG,8,33DG,1321.0,1731973699.0,7.627136605842881e-07
Argentina,ARG,9,33DG,101679620.0,1731973699.0,0.05870736955111233
Argentina,ARG,12,33DG,4850.0,1731973699.0,2.8002734699725945e-06
Argentina,ARG,13,33DG,2140622.0,1731973699.0,0.0012359437104824073
Argentina,ARG,14,33DG,801013798.0,1731973699.0,0.46248612115904886
Argentina,ARG,15,33DG,641201571.0,1731973699.0,0.3702143810672266
Argentina,ARG,16,33DG,157972599.0,1731973699.0,0.09120958308501427
Argentina,ARG,17,33DG,9217936.0,1731973699.0,0.005322214768805216
Argentina,ARG,18,33DG,8497136.0,1731973699.0,0.0049060421673297015
Argentina,ARG,19,33DG,2757852.0,1731973699.0,0.0015923174824146102
Argentina,ARG,20,33DG,6048573.0,1731973699.0,0.0034923007222871227
Argentina,ARG,21,33DG,652873.0,1731973699.0,0.0003769531837446222
Argentina,ARG,6,Other,3003.0,290009890.0,1.0354819278749425e-05
Argentina,ARG,7,Other,20455.0,290009890.0,7.053207737156825e-05
Argentina,ARG,10,Other,20000.0,290009890.0,6.896316535963653e-05
Argentina,ARG,11,Other,5012.0,290009890.0,1.7282169239124913e-05
Argentina,ARG,14,Other,875360.0,290009890.0,0.0030183798214605717
Argentina,ARG,15,Other,288731.0,290009890.0,0.0009955901848726608
Argentina,ARG,17,Other,71800.0,290009890.0,0.00024757776364109515
Argentina,ARG,21,Other,288725529.0,290009890.0,0.9955713199987766
Armenia,ARM,1,11,407820.0,627522.0,0.6498895656247908
Armenia,ARM,2,11,219702.0,627522.0,0.35011043437520917
Armenia,ARM,5,21,89580.0,89580.0,1.0
Armenia,ARM,1,31ND,1673420.0,28818809.0,0.058066938158339576
Armenia,ARM,2,31ND,842515.0,28818809.0,0.02923490002657639
Armenia,ARM,3,31ND,23051.0,28818809.0,0.0007998595639396479
Armenia,ARM,4,31ND,16396307.0,28818809.0,0.5689446430627997
Armenia,ARM,6,31ND,1002607.0,28818809.0,0.03479002203040382
Armenia,ARM,7,31ND,287231.0,28818809.0,0.009966789397854713
Armenia,ARM,8,31ND,214576.0,28818809.0,0.007445692845946548
Armenia,ARM,10,31ND,95860.0,28818809.0,0.0033262998481304344
Armenia,ARM,11,31ND,8162478.0,28818809.0,0.2832343973687462
Armenia,ARM,12,31ND,69686.0,28818809.0,0.002418073557446458
Armenia,ARM,20,31ND,51078.0,28818809.0,0.001772384139816465
Armenia,ARM,6,33DG,122440.0,89025294.0,0.001375339462512755
Armenia,ARM,7,33DG,4623.0,89025294.0,5.1929061868641514e-05
