"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"June 30, 2025"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
335,"Electrical equipment, appliances, and components",3888,1615,39,219,42,487,14,4,4799,10583,6732,9866,7603,1598,6745,2756,417,134,1432,547,3410,353,772,193,15993,335,349,529,1161,19,13401,86,3071,159,4990,1020,857,110,669,203,1103,525,0,60,3,541,108,134,561,363,6,402,1005,2254,8,4,3,77,1,41,9,10,1,0,535,117,627,48,1,131,21,137,81,2,260,35,183,220,2,52,1,182,0,8,0,4,645,3745,193,287,0,151,82,0,0,74,0,5,1,825,540,0,3427,258,2986,111,589,5,2323,83,20,675,1291,951,294,9,1,0,0,3,983,595,713,35,502,524,804,2205,2551,104,0,3742,6095,87,559,301,442,4285,161167,72835,52676,0,8953,0,-839,35004,-168788,0,726,0,0,0,106,0,0,0,700,0,0,1373,162540
336111,Automobile manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12305,28092,0,0,0,5209,16989,-95079,0,13546,0,0,0,13614,0,0,0,34197,0,0,28873,28876
336112,Light truck and utility vehicle manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,217551,237529,0,0,0,11843,37483,-146061,0,0,0,0,0,0,0,0,0,0,0,0,358345,358352
33612,Heavy duty truck manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,144,26,1,0,0,0,0,0,0,0,0,1039,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,39,0,0,0,2440,0,32374,0,0,0,-31,9284,-21609,0,223,0,0,0,30,0,0,0,15099,0,0,35370,37810
3362BP,"Motor vehicle body, trailer, and parts manufacturing",613,347,65,1520,648,224,24,3,0,2428,0,18,3,3,0,0,1896,505,654,232,1200,2995,3880,269,3570,16,410,95,239,12,734,10619,144015,9529,49412,1161,1878,398,282,383,2252,1694,111,60,1,1090,141,149,179,215,10,760,613,423,119,465,1017,2518,72,2538,357,1262,501,0,2744,1817,310,1097,910,303,103,2962,388,0,55,0,6860,943,0,103,4,1533,114,30,104,1034,83,138,4,42,642,164,25,0,0,0,0,0,0,0,3413,0,112,5,648,473,1559,366,526,654,196,13655,2052,1793,864,119,58,17,131,496,2551,166,3102,70,200,210,1925,12869,822,1453,0,8864,270,3607,4125,293,4823,1754,353580,44819,28113,0,0,0,3529,49495,-156022,0,12,0,0,0,5,0,0,0,16,0,0,-30033,323547
3364,Aerospace product and parts manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,87391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,0,0,0,0,0,277,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59815,989,0,0,0,0,0,152673,1243,55359,0,0,0,2774,97186,-38340,0,33435,0,0,0,2201,0,0,0,4,0,0,153862,306535
3365AO,All other transportation equipment manufacturing,0,0,22,0,4,0,0,0,15,0,0,0,0,0,1,0,19,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,1186,0,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1020,56,222,0,433,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0,0,2,0,91,0,109,0,0,0,0,0,0,0,0,0,0,247,0,0,14,0,0,0,8479,14,3,0,0,0,148,18854,35866,17340,0,0,0,4078,8893,-18796,0,19020,0,0,0,5,0,0,0,140,0,0,66546,85400
337,Furniture and related products,0,0,0,0,0,0,0,0,64,1751,3639,6669,1334,188,7080,504,247,0,0,0,0,0,0,0,202,15,56,15,21,1,1,0,0,0,21,13,0,3060,207,2,0,0,0,0,0,0,0,0,0,0,0,0,278,3,0,1,0,186,0,387,1,158,0,0,168,0,0,6,0,0,201,277,930,0,0,0,0,0,0,0,0,0,0,1,0,0,10,88,2,375,0,0,0,0,0,0,0,2248,51,51,0,7,3,0,0,11,146,0,311,5,0,0,3,0,0,9,1,16,25,136,131,1,294,342,297,3,336,163,52,106,0,0,0,64,0,0,0,1688,34662,59678,30888,0,829,0,-1941,3847,-49357,0,0,0,0,0,2,0,0,0,590,0,0,44536,79198
3391,Medical equipment and supplies manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53,13,13,22,3,0,45,58,0,0,0,0,0,35,0,0,23,42,1,12,0,3156,5,0,0,0,0,0,0,0,0,0,0,0,2,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,96,0,57,0,675,1,0,637,0,352,0,9189,9194,26,949,103,25376,442,489,0,14,0,0,8,0,0,0,1571,312,0,10,4249,1,80,57500,33364,36839,0,0,0,-152,20565,-49563,0,40,0,0,0,9,0,0,0,664,0,0,41766,99266
3399,Other miscellaneous manufacturing,64,84,1,57,21,8,0,0,53,87,153,207,14,30,129,1529,13,11,2,2,35,94,7,371,1348,0,0,1,0,0,460,96,461,26,1512,6,0,6,3,1985,35,9,0,51,137,0,3,1,238,9,0,18,47,1,33,57,13,214,146,445,33,111,3,0,325,118,6,52,19,3,314,293,11,0,1,0,8,21,0,40,43,102,1,2,2,0,19,66,3,54,30,62,40,0,0,14,0,0,0,176,73,7,14,76,324,166,80,254,426,6,16,1366,139,9,339,27,7,0,53,30,333,13,995,118,188,32,728,105,1621,509,0,16,177,0,582,227,313,2,21676,95632,16116,0,0,0,-1333,16022,-75322,0,3,0,0,0,1,0,0,0,75,0,0,51194,72870
311,Food manufacturing,0,35110,106,0,0,0,0,0,0,0,0,0,0,0,0,0,24,568,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,165072,9719,0,16,321,268,585,601,4005,13,621,2391,188,0,0,0,0,0,0,0,0,2938,111,0,0,601,217,0,0,0,0,0,0,86,0,246,12,0,0,6,0,0,17,0,3,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1451,0,3058,74,0,0,0,0,3956,0,0,0,0,4,6413,4028,19141,889,3132,3687,72942,0,2,996,0,3517,116,605,25881,18544,14470,0,407132,590737,0,0,0,0,427,77176,-113547,0,0,0,0,0,0,0,0,0,0,0,0,554793,961925
3121,Beverage manufacturing,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4283,7991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,164,0,24,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,15,0,0,0,0,209,0,0,0,0,0,0,0,0,60,1705,366,15111,0,0,154,0,3,0,42,169,47,11,0,31472,134845,0,0,0,0,-995,3801,-29919,0,0,0,0,0,0,0,0,0,0,0,0,107732,139204
3122,Tobacco product manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8362,0,29887,0,40150,52110,0,0,0,0,-362,947,-2286,0,0,0,0,0,0,0,0,0,0,0,0,50409,90559
313TT,Textile mills and textile product mills,9,2,6,0,1,0,0,0,129,421,233,602,49,46,286,101,489,239,0,0,1,0,0,0,697,0,0,0,0,0,0,73,1149,95,814,512,156,2724,954,533,55,1,0,8476,2155,3243,268,19,0,0,0,2,2389,91,107,188,49,759,204,119,138,175,13,0,39,73,3052,2,18,4,599,52,639,0,0,21,20,0,0,5,12,2,1,0,218,0,0,4,0,5,0,0,0,0,0,0,0,0,0,50,210,0,0,0,15,20,303,0,74,15,0,145,0,161,24,39,0,0,0,40,340,1618,1316,0,120,1206,403,54,425,68,0,451,388,4,113,1011,352,25,42528,33263,96,0,253,0,-1090,7673,-35552,0,0,0,0,0,4,0,0,0,1,0,0,4648,47176
315AL,Apparel and leather and allied products,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,314,0,974,0,0,0,0,111,11,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,76,0,1,0,164,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,55,12,65,1,0,0,0,0,0,4,0,0,12,22,5,0,149,2,976,0,70,20,114,83,300,645,31,5721,165332,0,0,0,0,-2334,4380,-146037,0,0,0,0,0,0,0,0,0,0,0,0,21341,27062
322,Paper products,378,10,0,143,131,29,22,0,172,637,91,1038,527,180,1159,193,1236,2014,983,970,2038,56,56,105,1500,4,127,136,227,7,1239,241,3620,348,1930,366,276,1342,745,1464,18252,2513,6459,406,29,44849,9387,256,363,701,79,4275,4777,897,303,434,556,1220,568,1463,552,1944,144,0,242,842,355,91,301,97,230,938,214,37,46,2,268,1731,23,660,501,221,559,241,71,7,69,300,18,113,264,845,605,0,19,1938,3,0,0,780,1380,359,659,154,413,866,315,523,1065,599,818,3325,1408,406,380,298,166,54,504,254,1672,771,1441,56,229,3245,6366,188,199,895,0,285,2845,202,7141,3338,2886,72,184575,24185,0,0,0,0,-747,21114,-28123,0,0,0,0,0,0,0,0,0,0,0,0,16429,201004
323,Printing and related support activities,4,5,0,10,1,0,0,8,0,6,0,10,0,0,26,0,2,0,0,0,9,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,56,2,0,0,0,0,1238,1,0,2,27,52,0,944,1262,1004,428,1134,2320,689,170,1093,297,0,241,142,153,21,61,76,45,7027,150,5,7,0,237,138,2,209,22,12,2841,122,524,172,129,78,23,258,5402,857,1327,914,1190,2279,0,0,0,105,594,525,368,154,498,864,172,2542,889,894,131,74,2804,15,909,920,213,79,170,223,3549,118,1830,692,320,708,1269,54,340,897,0,892,1787,54,6512,1516,1287,444,70884,3801,0,0,0,0,-420,2508,-3050,0,0,0,0,0,0,0,0,0,0,0,0,2839,73723
324,Petroleum and coal products,4484,2025,248,7969,2393,1111,15748,1661,1711,13287,4148,10873,4723,2076,6610,9153,796,617,1978,429,1325,11,308,10,572,9,23,82,43,1,742,2,58,18,329,150,25,242,305,691,2236,484,313,52,8,1306,579,18121,3836,1903,80,2821,773,540,141,1029,267,869,67,509,257,778,69,0,1114,393,235,470,83,315,86,624,228,40205,3928,5281,19555,3722,199,3490,9506,2926,45,216,71,28,59,421,42,435,135,3752,3581,0,7,100,848,32,3,4826,2287,41,1278,38,1348,95,583,38,199,703,35,5585,985,2073,1884,685,13,13,87,199,1340,783,1244,236,1120,865,4776,736,789,1151,0,14509,1395,1878,53513,4737,49355,27248,424829,265764,0,0,0,0,7401,148497,-80716,0,0,0,0,0,0,0,0,0,0,0,0,340946,765775
3251,Basic chemical manufacturing,1084,6,0,9109,604,428,1135,178,71,219,8,55,10,42,12,77,329,2175,942,269,1137,16,61,14,222,1,16,684,78,0,398,10,137,10,854,314,47,25,181,399,2754,142,150,572,4,3443,1866,35798,56862,40580,479,22737,11309,0,16,12,0,278,0,37,32,213,4,0,23,14,13,0,4,5,0,18,0,0,22,1,99,1,0,1,8,1,5,0,6,0,159,102,21,5,0,12,18,0,0,0,0,401,3,8954,0,1,66,15,5578,221,1524,53,328,13,0,2139,1310,923,272,2730,275,2297,187,4398,3495,205,10,0,17,18,1486,579,19,22,0,1975,1367,29,3797,23215,3285,3683,274073,1737,2850,0,0,0,2795,60378,-68156,0,0,0,0,0,0,0,0,0,0,0,0,-396,273677
3252,"Resin, rubber, and artificial fibers manufacturing",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1212,1625,416,35,806,0,0,0,386,0,16,122,133,7,1374,0,0,1,3085,40,269,400,2559,1935,517,0,877,9207,48,1535,0,2,184,13138,0,8062,65335,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,310,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,7,4,0,2,0,0,50,113890,0,0,0,0,0,1130,38864,-21215,0,0,0,0,0,0,0,0,0,0,0,0,18779,132669
3254,Pharmaceutical and medicine manufacturing,0,1840,210,0,0,0,0,0,0,596,0,0,0,0,0,0,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,0,0,0,0,0,0,0,0,0,72751,0,0,0,0,0,0,0,672,0,0,0,4,0,0,0,0,0,505,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652,0,39700,0,3314,1856,0,0,0,0,0,14579,2193,11184,11860,8046,19071,4702,95,519,613,0,0,0,143,0,0,364,136,0,6,803,0,86,203538,255857,0,0,0,0,1049,60862,-216230,0,0,0,0,0,0,0,0,0,0,0,0,101538,305076
325X,Other chemical manufacturing,21822,1931,1018,1605,1202,609,11,15,1768,5621,1389,4163,1324,468,3217,1646,1234,571,165,192,5366,368,174,83,1173,12,62,358,589,5,839,226,7069,314,2826,694,474,1435,490,1248,2553,385,81,285,120,2906,2883,4138,2955,768,110,14636,3550,15,29,21,137,50,123,178,13,1200,12,0,110,56,26,68,25,60,12,98,98,1,122,2,234,34,1,24,3,307,49,260,278,16,97,220,19,293,1287,35,76,0,3,110,0,168,7,3313,215,76,141,4,805,176,885,178,714,674,598,7414,524,1164,555,141,44,25,287,399,1052,184,742,9,669,73,361,698,3353,217,0,1417,2843,77,3157,6788,8130,1140,164365,80033,0,0,0,0,1289,34578,-45122,0,0,0,0,0,0,0,0,0,0,0,0,70778,235143
326,Plastics and rubber products,1594,293,42,137,962,365,10,0,4230,9021,5800,7242,2709,1233,5744,2328,1238,1174,574,229,2343,1695,1457,320,5551,163,168,531,1395,143,2163,932,12741,1014,9973,1291,1910,2749,2045,2036,16780,4786,172,386,131,2650,3151,421,1693,1344,232,6516,22156,6414,781,1052,2597,3044,1507,3972,1050,4916,461,0,1420,1753,556,537,594,982,422,2112,866,280,4,0,1112,215,46,77,1642,300,154,94,107,2491,1947,1414,62,255,929,52,148,0,1,2326,0,12,3,588,3364,25,1856,30,4062,447,3468,349,595,120,70,1312,1851,553,1045,5060,966,121,743,3296,6076,1913,2520,48,386,200,9836,2160,604,674,0,3154,1596,42,3278,8742,3289,4756,283865,51814,361,0,22,0,499,28463,-73802,0,0,0,0,0,14,0,0,0,0,0,0,7371,291236
4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,312,144,15,340,267,49,17,3,829,942,397,244,41,15,116,36,396,157,378,107,338,778,930,63,1063,3,79,22,50,3,222,2457,32384,2189,10489,114,656,104,60,88,456,340,25,24,5,221,34,87,105,106,3,207,2842,560,454,260,295,647,30,573,71,447,95,0,677,366,75,220,172,87,23,953,83,123,16,3,2257,195,0,27,499,293,23,6,22,196,22,53,1,12,133,59,27,0,0,13,0,1,0,42,902,0,70,1,238,90,340,74,105,133,39,2385,433,448,347,35,13,7,26,116,528,41,717,11,123,45,463,3947,170,334,0,2374,194,677,836,115,1078,549,89467,31797,34881,0,2,0,4549,24062,0,0,4962,0,0,0,4972,0,0,0,13279,0,0,118504,207971
4234,Professional and commercial equipment and supplies merchant wholesalers,37,11,3,246,37,46,136,30,228,147,138,266,309,65,237,73,77,84,55,76,242,33,86,61,841,364,89,81,886,26,298,58,576,136,441,249,79,63,3041,49,467,221,73,7,33,598,499,21,74,231,81,369,1107,532,768,924,537,1000,199,353,236,1434,13,0,561,181,132,92,49,65,63,1316,121,16,6,2,53,22,3,625,11,282,82,10228,17,31,213,235,52,119,318,93,311,10,168,211,100,0,0,276,71,216,616,73,832,560,421,138,933,539,93,635,509,270,201,7824,4928,46,833,363,13509,291,427,22,107,108,679,272,694,189,0,1055,1826,13,1012,3523,345,129,80143,57775,55348,31148,212,0,-329,28685,0,0,327,1262,0,0,72,1489,0,0,991,3317,0,180297,260440
4236,Household appliances and electrical and electronic goods merchant wholesalers,1026,447,14,331,51,173,115,28,2873,3227,2295,3684,2428,568,2423,1649,486,284,742,617,2875,227,362,225,5850,468,2645,2994,3438,293,5783,247,3700,239,4579,8522,1738,433,414,415,540,868,90,129,85,436,299,117,544,318,4,733,1070,752,846,1101,679,1374,10864,301,329,1547,58,0,928,218,455,139,126,132,84,1212,166,2,105,2,105,63,3,88,14,101,193,1884,36,519,5512,4515,1242,2130,792,517,335,0,36,7,258,2,0,262,292,445,2615,289,1920,187,817,81,958,6678,331,552,965,382,419,569,31,31,13,403,739,220,317,23,174,162,588,2400,1069,196,0,7016,2303,30,419,162,283,1587,149841,50443,69594,4003,3308,0,-1336,34946,0,0,5135,162,0,0,890,191,0,0,783,426,0,168545,318386
4238,"Machinery, equipment, and supplies merchant wholesalers",977,404,43,7429,1596,1265,1097,317,1946,1520,1969,2175,4195,530,2103,708,337,1311,429,689,2847,1671,1169,488,6982,26,68,143,235,19,1876,812,4001,1251,5658,4301,1064,435,197,403,2696,2464,92,70,54,741,1093,456,500,341,59,1802,2316,410,233,257,446,602,198,514,194,617,58,0,310,334,159,84,118,147,148,639,160,113,135,27,395,185,17,109,449,379,28,22,11,461,329,507,23,134,584,122,72,3,4,207,8,34,2,534,1419,15,625,10,1001,189,1249,46,207,69,9,390,245,1278,303,361,108,27,78,444,954,139,404,20,123,490,1128,2123,432,123,0,3098,323,28,1172,1511,1123,1443,110599,9536,90598,15,9,0,-225,37367,0,0,2215,1,0,0,87,1,0,0,2790,2,0,142396,252995
423X,Other durable goods merchant wholesalers,378,411,1212,3593,937,277,287,301,7504,8279,9968,15734,9434,3903,10704,6549,11267,4561,16728,10864,15696,678,1133,772,9278,81,384,522,1168,80,3979,367,5363,507,10227,2212,1341,3442,685,2157,2416,1135,436,187,164,3497,99,496,675,277,45,1623,3662,138,277,341,391,481,124,474,49,467,298,0,440,207,390,74,45,76,127,887,985,16,1060,137,280,22,309,43,147,154,40,89,27,1602,1221,850,43,829,448,91,37,2,3,19,5,437,14,2046,1271,32,830,40,1774,183,903,63,342,177,21,2773,635,1079,591,445,143,49,92,423,1431,717,2201,105,548,831,3698,1263,504,746,0,3552,1172,34,1393,947,1430,2832,249187,99908,20377,180,2293,16,-896,41781,0,0,196,7,0,0,47,9,0,0,260,19,0,164197,413384
4242,Drugs and druggists sundries merchant wholesalers,135,719,75,510,68,61,51,14,123,506,128,342,229,62,364,91,1486,394,146,108,473,52,31,23,363,3,16,56,63,8,286,65,627,63,618,101,70,218,266,283,4082,360,587,423,64,3085,841,1626,2303,2153,26026,2716,3825,2087,2873,2737,1439,2771,719,1200,1139,4446,54,0,1327,428,180,340,152,123,174,3218,640,4,6,2,65,139,5,80,76,38,205,25,53,62,91,110,7,40,400,133,159,57,65,423,1,16,0,582,267,66,124,28,970,164,13992,211,1375,743,94,532,401,155,171,5400,860,3978,4256,3163,1944,1824,440,247,323,331,1291,127,275,205,0,287,592,32,1434,1900,637,300,135418,114139,488,0,1,0,-1106,33392,0,0,15,0,0,0,1,0,0,0,10,0,0,146940,282358
4244,Grocery and related products merchant wholesalers,441,1780,2,15,3,4,2,0,12,153,59,187,62,32,87,24,34,158,12,9,34,2,1,2,24,0,3,3,6,1,17,19,208,8,241,5,19,232,22,50,42523,2898,476,23,160,747,211,168,1008,84,166,619,320,597,858,892,456,892,196,328,297,1682,25,0,411,298,432,81,38,28,81,1040,109,19,1,41,11,15,1,20,7,5,20,3,6,5,11,19,1,5,107,15,18,6,7,47,0,1,0,44,62,7,26,11,68,19,214,31,692,31,9,96,84,26,643,217,63,22,28,90,963,587,2372,210,621,597,12307,66,133,262,0,412,96,108,4030,2882,2252,38,92927,138067,558,0,3,0,-79,14544,0,0,1,0,0,0,0,0,0,0,7,0,0,153101,246028
4247,Petroleum and petroleum products merchant wholesalers,968,642,89,2059,822,288,3025,510,767,2905,1332,2832,1681,719,1769,1852,168,248,220,46,223,4,37,4,93,1,3,13,8,0,99,4,78,4,93,57,12,59,48,91,541,85,49,48,15,299,109,22303,1048,417,15,472,385,239,74,425,115,361,37,206,97,310,27,0,248,84,74,128,15,84,17,150,47,4608,1205,1756,7003,1259,88,852,2037,1219,13,58,22,8,15,99,13,138,44,999,1060,0,1,32,425,10,1,1451,674,10,415,12,229,30,111,11,63,166,14,1720,248,414,355,117,16,13,17,88,306,165,201,51,243,211,1192,171,209,134,0,1630,189,918,6024,653,5600,9313,108746,85024,9,0,9,0,934,19700,0,0,0,0,0,0,0,0,0,0,0,0,0,105676,214422
424X,Other nondurable goods merchant wholesalers,19638,21652,540,1124,385,136,142,28,702,1781,932,2475,872,310,1572,572,611,778,530,268,1378,134,84,55,942,21,41,183,255,15,680,143,2056,163,1989,244,308,1372,665,905,35121,4937,1782,2273,798,4974,1404,3538,11739,4579,226,6888,9256,748,527,732,564,1141,506,639,312,2425,122,0,581,320,892,138,94,129,268,1651,261,196,44,36,173,164,8,163,112,82,654,142,112,297,240,205,13,89,497,167,192,68,84,466,5,114,4,1206,516,95,264,57,960,236,1251,324,315,223,130,3024,672,336,513,1020,212,243,264,726,2959,378,724,137,1360,632,13680,393,593,827,0,416,1237,107,5149,4082,11307,1240,228381,198135,1804,256,47,0,-1563,34653,0,0,26,10,0,0,2,12,0,0,21,27,0,233430,461811
425,Wholesale electronic markets and agents and brokers,49,711,3,31,10,2,5,1313,47,31,38,53,70,11,48,22,35,32,131,45,90,5,13,4,88,1,7,4,15,6,157,10,714,44,85,41,9,43,100,19,1272,44,13,15,5,116,11,80,36,26,47,56,107,413,829,946,504,980,134,284,253,1453,2,0,296,123,9,147,49,29,52,6432,145,8,2,1,7,2,1,1,3,2,45,23,0,11,21,15,4,8,8,3,2,0,0,3,1,1,0,10,18618,2,51,1,10,2,31,2,12,27,2,36,7,7,13,17,4,5,6,8,25,10,33,3,10,10,149,31,16,8,0,43,8,3,66,43,41,15,38607,2397,965,12,5,0,64,4475,0,0,168,0,0,0,141,1,0,0,353,1,0,8582,47189
42ID,Customs duties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81633,0,0,0,0,0,0,0,0,0,0,0,0,81633,81633
441,Motor vehicle and parts dealers,2,9,2,376,193,85,15,2,860,1562,117,552,11,37,337,4,416,202,55,85,415,408,1180,110,621,4,80,8,46,2,2,0,0,0,4105,185,535,118,124,159,803,702,0,24,1,377,55,1,78,91,4,329,189,0,0,0,0,12,29,0,0,1,0,0,698,749,127,449,363,89,33,1282,147,0,9,0,1825,16,0,7,3,62,41,12,41,1,33,48,1,17,0,67,11,0,13,1,0,108,0,318,1304,0,43,0,0,163,272,133,105,0,49,3879,143,89,0,0,0,0,0,0,0,0,0,7,47,52,246,5051,324,468,0,0,0,0,0,0,0,5,34671,391826,42991,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434825,469496
445,Food and beverage stores,36,13,0,1,0,0,66,1,1,34,2,46,6,4,147,3,0,2,0,0,1,0,0,0,7,0,0,0,0,1,1,0,0,0,4,0,0,2,5,0,4,3,0,0,0,1,21,3,23,8,0,11,1,0,1,1,1,2,1,1,1,1,0,0,9,3,1,1,1,3,0,5,1,0,4,0,311,61,0,10,30,0,0,0,0,0,0,0,0,0,2,5,3,0,0,2,0,77,0,38,4,0,1,0,2,1,0,1,1,0,0,73,3,0,5,1,1,0,0,1,3,0,1,0,0,26,1906,16,1,2,0,0,1,0,6,0,0,0,3090,322737,417,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323166,326256
