Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Portugal,322120,322130,53227.0,Europe,1,,,322120,level_5,322130,level_5,both_mapped_different
Portugal,322120,322220,2186.0,Europe,1,,,322120,level_5,322220,level_5,both_mapped_different
Portugal,322120,322230,3034.0,Europe,1,,,322120,level_5,322230,level_5,both_mapped_different
Portugal,322130,322130,7807250.0,Europe,5,,,322130,level_5,322130,level_5,both_mapped_same
Portugal,322130,322220,18488.0,Europe,1,,,322130,level_5,322220,level_5,both_mapped_different
Portugal,322211,322211,478774.0,Europe,1,,,322210,level_5,322210,level_5,both_mapped_same
Portugal,322211,322299,277242.0,Europe,1,,,322210,level_5,322299,exact,both_mapped_different
Portugal,322212,322212,632778.0,Europe,2,,,322210,level_5,322210,level_5,both_mapped_same
Portugal,322219,322212,1220528.0,Europe,1,,,322210,level_5,322210,level_5,both_mapped_same
Portugal,322219,322219,12858.0,Europe,2,,,322210,level_5,322210,level_5,both_mapped_same
Portugal,322220,322220,15555512.0,Europe,17,,,322220,level_5,322220,level_5,both_mapped_same
Portugal,322230,322230,37855.0,Europe,2,,,322230,level_5,322230,level_5,both_mapped_same
Portugal,322230,323111,123784.0,Europe,3,,,322230,level_5,323110,level_5,both_mapped_different
Portugal,322291,322291,106613.0,Europe,2,,,322291,exact,322291,exact,both_mapped_same
Portugal,322299,322299,437733.0,Europe,6,,,322299,exact,322299,exact,both_mapped_same
Portugal,323111,323111,1604564.0,Europe,18,,,323110,level_5,323110,level_5,both_mapped_same
Portugal,323117,323117,515309.0,Europe,8,,,323110,level_5,323110,level_5,both_mapped_same
Portugal,323120,323120,57786.0,Europe,1,,,323120,level_5,323120,level_5,both_mapped_same
Portugal,324110,324110,1058248646.0,Europe,7,,,324110,level_5,324110,level_5,both_mapped_same
Portugal,325110,325110,7028.0,Europe,1,,,325110,level_5,325110,level_5,both_mapped_same
Portugal,325130,325130,2006355.0,Europe,8,,,325130,level_5,325130,level_5,both_mapped_same
Portugal,325180,325180,4212380.0,Europe,6,,,325180,level_5,325180,level_5,both_mapped_same
Portugal,325194,325194,28116501.0,Europe,7,,,325190,level_5,325190,level_5,both_mapped_same
Portugal,325194,325211,5268494.0,Europe,1,,,325190,level_5,325211,exact,both_mapped_different
Portugal,325199,311224,15325.0,Europe,1,,,325190,level_5,311224,exact,both_mapped_different
Portugal,325199,325199,62928604.0,Europe,25,,,325190,level_5,325190,level_5,both_mapped_same
Portugal,325199,325212,30434.0,Europe,2,,,325190,level_5,3252A0,exact,both_mapped_different
Portugal,325199,325998,18542.0,Europe,1,,,325190,level_5,3259A0,level_5,both_mapped_different
Portugal,325211,325211,36460754.0,Europe,26,,,325211,exact,325211,exact,both_mapped_same
Portugal,325211,910000,58828.0,Europe,3,,,325211,exact,S00300,noncomparable_imports,both_mapped_different
Portugal,325212,325212,608049.0,Europe,5,,,3252A0,exact,3252A0,exact,both_mapped_same
Portugal,325220,325220,15161719.0,Europe,14,,,3252A0,level_5,3252A0,level_5,both_mapped_same
Portugal,325311,325311,41252.0,Europe,2,,,325310,level_5,325310,level_5,both_mapped_same
Portugal,325320,325320,4532075.0,Europe,3,,,325320,level_5,325320,level_5,both_mapped_same
Portugal,325411,325411,4683997.0,Europe,6,,,325411,exact,325411,exact,both_mapped_same
Portugal,325411,325412,832843976.0,Europe,9,,,325411,exact,325412,exact,both_mapped_different
Portugal,325412,325412,461110203.0,Europe,41,,,325412,exact,325412,exact,both_mapped_same
Portugal,325413,325413,197601005.0,Europe,4,,,325413,exact,325413,exact,both_mapped_same
Portugal,325414,325414,52738857.0,Europe,6,,,325414,exact,325414,exact,both_mapped_same
Portugal,325510,325510,940484.0,Europe,3,,,325510,level_5,325510,level_5,both_mapped_same
Portugal,325510,325520,55927.0,Europe,1,,,325510,level_5,325520,level_5,both_mapped_different
Portugal,325520,325520,1198113.0,Europe,5,,,325520,level_5,325520,level_5,both_mapped_same
Portugal,325611,325611,8063869.0,Europe,5,,,325610,level_5,325610,level_5,both_mapped_same
Portugal,325611,325613,1540455.0,Europe,2,,,325610,level_5,325610,level_5,both_mapped_same
Portugal,325612,325611,1718816.0,Europe,1,,,325610,level_5,325610,level_5,both_mapped_same
Portugal,325612,325612,284128.0,Europe,2,,,325610,level_5,325610,level_5,both_mapped_same
Portugal,325613,325613,137111.0,Europe,5,,,325610,level_5,325610,level_5,both_mapped_same
Portugal,325620,325611,30575.0,Europe,1,,,325620,level_5,325610,level_5,both_mapped_different
Portugal,325620,325620,7025900.0,Europe,15,,,325620,level_5,325620,level_5,both_mapped_same
Portugal,325910,325910,992805.0,Europe,7,,,325910,level_5,325910,level_5,both_mapped_same
Portugal,325998,325199,218690.0,Europe,1,,,3259A0,level_5,325190,level_5,both_mapped_different
Portugal,325998,325613,104154.0,Europe,1,,,3259A0,level_5,325610,level_5,both_mapped_different
Portugal,325998,325620,4435.0,Europe,1,,,3259A0,level_5,325620,level_5,both_mapped_different
Portugal,325998,325998,774058.0,Europe,5,,,3259A0,level_5,3259A0,level_5,both_mapped_same
Portugal,326111,326111,722843.0,Europe,2,,,326110,level_5,326110,level_5,both_mapped_same
