Country,iso3,usummary_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Aruba,ABW,3341,47171.0,North America,RoWorld,3.063285112106751e-07,0.0014373606948353528,153988278184.0,32817789.0
Aruba,ABW,3342,15739.0,North America,RoWorld,1.2979506612699603e-07,9.82914290473399e-05,121260387391.0,160125864.0
Aruba,ABW,3345,260437.0,North America,RoWorld,3.5044267815844027e-06,0.00010966246226172415,74316576214.0,2374896520.0
Aruba,ABW,335,6016.0,North America,RoWorld,2.947001893793177e-08,1.9437303585881677e-06,204139672006.0,3095079507.0
Aruba,ABW,3362BP,62618.0,North America,RoWorld,4.080982850854409e-07,2.210427120442769e-05,153438527650.0,2832846169.0
Aruba,ABW,3365AO,4300.0,North America,RoWorld,2.790162006108994e-07,3.604178369245241e-05,15411291497.0,119305971.0
Aruba,ABW,337,2775.0,North America,RoWorld,5.826128987537118e-08,6.530703153630662e-06,47630253397.0,424915960.0
Aruba,ABW,3399,137099.0,North America,RoWorld,1.4421763028262249e-06,8.261064683960527e-05,95063966681.0,1659580275.0
Aruba,ABW,S003,8921785.0,North America,RoWorld,6.082003039451069e-05,0.0009993215571042846,146691557734.0,8927842031.0
Australia,AUS,111,94933219.0,Oceania,RoAsia,0.0018887204020511606,0.028135021832740505,50263246427.0,3374201007.0
Australia,AUS,112,41165316.0,Oceania,RoAsia,0.0029805208325780195,0.012301915069558385,13811450519.0,3346252658.0
Australia,AUS,113FF,112244798.0,Oceania,RoAsia,0.007033619383318685,0.021561918247732553,15958326984.0,5205696298.0
Australia,AUS,212,613702879.0,Oceania,RoAsia,0.11537010608669318,0.693333787780977,5319427188.0,885147803.0
Australia,AUS,311,5010273092.0,Oceania,RoAsia,0.04340713637950236,0.16657228898204737,115425100799.0,30078671084.0
Australia,AUS,3121,274902570.0,Oceania,RoAsia,0.008935665414501822,0.18570132398341244,30764644517.0,1480347927.0
Australia,AUS,313TT,30223248.0,Oceania,RoAsia,0.0008928066728291691,0.0022808937558226597,33851951290.0,13250616309.0
Australia,AUS,315AL,27296633.0,Oceania,RoAsia,0.00022511391137483341,0.00042853320569627125,121256979781.0,63697824666.0
