Country,iso3,detail_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Bangladesh,BGD,3118A0,275951.0,Asia,RoAsia,0.00019828179997727704,0.0014241751070390544,1391711191.0,193761988.0
Bangladesh,BGD,311910,741251.0,Asia,RoAsia,0.00039279096415081855,0.0013156698386221166,1887138625.0,563401986.0
Bangladesh,BGD,311920,659467.0,Asia,RoAsia,0.00014440100947141603,0.0013506505405654846,4566914057.0,488258791.0
Bangladesh,BGD,311930,2100.0,Asia,RoAsia,6.995373528104497e-07,7.600822139524449e-07,3001984085.0,2762859019.0
Bangladesh,BGD,311940,1439530.0,Asia,RoAsia,0.0003702936151097122,0.001017369768416716,3887536650.0,1414952601.0
Bangladesh,BGD,311990,1083675.0,Asia,RoAsia,0.0002048524318156424,0.000712173641068825,5290027511.0,1521644354.0
Bangladesh,BGD,312110,635323.0,Asia,RoAsia,0.00016764141948130584,0.0012011739837773307,3789773446.0,528918382.0
Bangladesh,BGD,312200,151203.0,Asia,RoAsia,7.841879967534017e-05,0.0010587202271565214,1928147340.0,142816767.0
Bangladesh,BGD,313100,3243848.0,Asia,RoAsia,0.00450888070321897,0.009638429035855123,719435313.0,336553601.0
Bangladesh,BGD,313200,8383196.0,Asia,RoAsia,0.001244954498048246,0.0033246869104431686,6733736866.0,2521499385.0
Bangladesh,BGD,313300,2573834.0,Asia,RoAsia,0.0016482648135483016,0.00401968282332195,1561541555.0,640307734.0
Bangladesh,BGD,314110,3749757.0,Asia,RoAsia,0.001152210719096159,0.001543391565193215,3254402114.0,2429556494.0
Bangladesh,BGD,314120,64603221.0,Asia,RoAsia,0.004825894886579193,0.013075883280438582,13386785771.0,4940639161.0
Bangladesh,BGD,314900,116795707.0,Asia,RoAsia,0.014250243920953417,0.0490313888970352,8196049671.0,2382059934.0
Bangladesh,BGD,315000,7388785196.0,Asia,RoAsia,0.09095885985612931,0.16358280612972542,81232165923.0,45168470763.0
Bangladesh,BGD,316000,333873455.0,Asia,RoAsia,0.00834166165480534,0.018018623679368774,40024813858.0,18529353903.0
Bangladesh,BGD,321200,5400.0,Asia,RoAsia,6.410244617810916e-07,3.214574235717429e-06,8424015497.0,1679849213.0
Bangladesh,BGD,321910,9633.0,Asia,RoAsia,3.4814733417801836e-06,1.7970293632751122e-05,2766932001.0,536051341.0
Bangladesh,BGD,3219A0,3265225.0,Asia,RoAsia,0.0007460981114402022,0.0034163020269273644,4376401642.0,955777614.0
Bangladesh,BGD,322120,412286.0,Asia,RoAsia,7.286330594915076e-05,0.00043375046307432617,5658348803.0,950514259.0
Bangladesh,BGD,322210,779447.0,Asia,RoAsia,0.00029522876179641775,0.001454948742954354,2640145883.0,535721278.0
Bangladesh,BGD,322220,1611120.0,Asia,RoAsia,0.0003278585094604514,0.0014805517355183078,4914071020.0,1088188924.0
Bangladesh,BGD,322230,10816.0,Asia,RoAsia,2.4742307528861142e-05,6.483812872820364e-05,437145969.0,166815425.0
Bangladesh,BGD,322291,39698.0,Asia,RoAsia,1.0976212706728187e-05,0.00011574651438707918,3616730202.0,342973611.0
Bangladesh,BGD,322299,1044021.0,Asia,RoAsia,0.0005059335669263039,0.003427678797919102,2063553534.0,304585424.0
Bangladesh,BGD,323110,1239898.0,Asia,RoAsia,0.00018392334537516627,0.0011546860267243838,6741384556.0,1073796661.0
Bangladesh,BGD,325120,413566.0,Asia,RoAsia,0.0014330415770558002,0.011808883323181028,288593162.0,35021601.0
Bangladesh,BGD,325211,134805.0,Asia,RoAsia,8.144361571983292e-06,3.3418345210737035e-05,16551941955.0,4033862214.0
Bangladesh,BGD,325412,20558234.0,Asia,RoAsia,0.00017146932693379104,0.0010039834908390822,119894527888.0,20476665391.0
Bangladesh,BGD,325413,3720.0,Asia,RoAsia,5.783040793787074e-08,3.356279585905668e-07,64326020387.0,11083701178.0
Bangladesh,BGD,325414,4750.0,Asia,RoAsia,9.091301683591128e-08,7.250785522588694e-07,52247743671.0,6551014349.0
Bangladesh,BGD,325610,127828.0,Asia,RoAsia,2.127781892471161e-05,0.00013176911758854096,6007570628.0,970090734.0
Bangladesh,BGD,325620,279738.0,Asia,RoAsia,1.7383117174552765e-05,8.396935146227363e-05,16092510750.0,3331429803.0
Bangladesh,BGD,325910,162732.0,Asia,RoAsia,2.0593691356010795e-05,4.661875337953877e-05,7902031607.0,3490698232.0
Bangladesh,BGD,3259A0,385115.0,Asia,RoAsia,3.9283342615862286e-05,0.0001490212162575316,9803519109.0,2584296449.0
Bangladesh,BGD,326110,2793584.0,Asia,RoAsia,0.00021558393177337464,0.000680673054969967,12958219924.0,4104149532.0
Bangladesh,BGD,326120,243283.0,Asia,RoAsia,0.00010666753229639786,0.0009883788186335776,2280759616.0,246143478.0
Bangladesh,BGD,326160,226568.0,Asia,RoAsia,0.00018873344941230165,0.001312836592266335,1200465528.0,172578980.0
Bangladesh,BGD,326190,19301955.0,Asia,RoAsia,0.000606996271926404,0.0030294482402722605,31799132701.0,6371442411.0
