Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Bulgaria,BGR,21,629059.0,Europe,Europe,3.6499543731876434e-06,0.0002586238563342252,172347085931.0,2432331684.0
Bulgaria,BGR,31ND,421490383.0,Europe,Europe,0.0004878788702785354,0.0013421615933828857,863924241604.0,314038477243.0
Bulgaria,BGR,33DG,953273755.0,Europe,Europe,0.00048515413451137286,0.002563332747486135,1964888449235.0,371888415944.0
Bulgaria,BGR,Other,38686227.0,Europe,Europe,0.00026372497229970685,0.0006744746796593456,146691557734.0,57357567551.0
Burma,MMR,11,45093394.0,Asia,RoAsia,0.0005634348395912222,0.0037810520696032607,80033023930.0,11926149963.0
Burma,MMR,31ND,486174407.0,Asia,RoAsia,0.0005627512038524895,0.002149053064667011,863924241604.0,226227269579.0
Burma,MMR,33DG,124146076.0,Asia,RoAsia,6.318225141398455e-05,0.00023379190361900654,1964888449235.0,531011014831.0
Burma,MMR,Other,1047068.0,Asia,RoAsia,7.137888615912569e-06,4.130442713106234e-05,146691557734.0,25350018696.0
Cambodia,KHM,11,6318188.0,Asia,RoAsia,7.894476167145869e-05,0.0005297759980883782,80033023930.0,11926149963.0
Cambodia,KHM,21,67412.0,Asia,RoAsia,3.911409330529019e-07,3.824358648577357e-06,172347085931.0,17627007871.0
Cambodia,KHM,31ND,8010067800.0,Asia,RoAsia,0.0092717247812472,0.035407171800757795,863924241604.0,226227269579.0
Cambodia,KHM,33DG,4577876496.0,Asia,RoAsia,0.002329840402788427,0.008621057507548989,1964888449235.0,531011014831.0
Cambodia,KHM,Other,67476919.0,Asia,RoAsia,0.00045999183621976274,0.0026618094372706414,146691557734.0,25350018696.0
Canada,CAN,11,12906925299.0,North America,CAN,0.16126999412503643,1.0,80033023930.0,12906925299.0
Canada,CAN,21,107820212541.0,North America,CAN,0.6255992780995807,1.0,172347085931.0,107820212541.0
Canada,CAN,31ND,100613193481.0,North America,CAN,0.11646066707677642,1.0,863924241604.0,100613193481.0
Canada,CAN,33DG,166437236199.0,North America,CAN,0.08470569220547856,1.0,1964888449235.0,166437236199.0
Canada,CAN,Other,24918152357.0,North America,CAN,0.16986766479216753,1.0,146691557734.0,24918152357.0
Cayman Islands,CYM,11,121500.0,North America,RoWorld,1.5181233200218528e-06,4.79321382420275e-06,80033023930.0,25348337140.0
Cayman Islands,CYM,21,7888.0,North America,RoWorld,4.57681077541282e-08,2.479022040307126e-07,172347085931.0,31818999072.0
