Country,sector_code,iso3,impVal
Macedonia,33DG,MKD,128334773.0
Macedonia,Other,MKD,4307834.0
Malaysia,11,MYS,89804132.0
Malaysia,21,MYS,339245.0
Malaysia,31ND,MYS,5262951909.0
Malaysia,33DG,MYS,45238990715.0
Malaysia,Other,MYS,1942761954.0
Maldives,11,MDV,2778022.0
Maldives,31ND,MDV,839862.0
Maldives,33DG,MDV,248119.0
Maldives,Other,MDV,899286.0
Malta,11,MLT,273238.0
Malta,31ND,MLT,27496605.0
Malta,33DG,MLT,176789697.0
Malta,Other,MLT,15886854.0
Marshall Islands,11,MHL,11416812.0
Marshall Islands,21,MHL,22743.0
Marshall Islands,31ND,MHL,6458982.0
Marshall Islands,33DG,MHL,700328.0
Marshall Islands,Other,MHL,1850098.0
Martinique,31ND,MTQ,1135725.0
Martinique,33DG,MTQ,210673.0
Martinique,Other,MTQ,1461360.0
Mexico,11,MEX,21967232441.0
Mexico,21,MEX,12481920596.0
Mexico,31ND,MEX,60103879452.0
Mexico,33DG,MEX,397307196327.0
Mexico,Other,MEX,13990369767.0
Micronesia,11,FSM,187494.0
Micronesia,31ND,FSM,403037.0
Micronesia,33DG,FSM,1336449.0
Micronesia,Other,FSM,513110.0
Moldova,11,MDA,2889011.0
Moldova,21,MDA,2392.0
Moldova,31ND,MDA,116718225.0
Moldova,33DG,MDA,14890295.0
Moldova,Other,MDA,1995244.0
Monaco,11,MCO,122384.0
Monaco,31ND,MCO,29761550.0
Monaco,33DG,MCO,9717279.0
Monaco,Other,MCO,7988451.0
Mongolia,11,MNG,14397424.0
Mongolia,21,MNG,708935.0
Mongolia,31ND,MNG,4998206.0
Mongolia,33DG,MNG,3106009.0
Mongolia,Other,MNG,3766866.0
Montenegro,11,MNE,24955.0
Montenegro,31ND,MNE,5098814.0
Montenegro,33DG,MNE,7981925.0
Montenegro,Other,MNE,2276612.0
Montserrat,21,MSR,95538.0
Montserrat,31ND,MSR,62599.0
Montserrat,33DG,MSR,5390086.0
Montserrat,Other,MSR,83571.0
Nauru,31ND,NRU,357833.0
Nauru,33DG,NRU,1543290.0
Nauru,Other,NRU,337801.0
Nepal,11,NPL,184028.0
Nepal,31ND,NPL,107083678.0
Nepal,33DG,NPL,8108468.0
Nepal,Other,NPL,5085415.0
Netherlands,11,NLD,801811365.0
Netherlands,21,NLD,31175585.0
Netherlands,31ND,NLD,18332017388.0
Netherlands,33DG,NLD,9923736548.0
Netherlands,Other,NLD,5044069352.0
New Caledonia,11,NCL,1531915.0
New Caledonia,31ND,NCL,472908.0
New Caledonia,33DG,NCL,30912289.0
New Caledonia,Other,NCL,927792.0
New Zealand,11,NZL,531190005.0
New Zealand,21,NZL,3240247.0
New Zealand,31ND,NZL,3581716345.0
New Zealand,33DG,NZL,1264282986.0
New Zealand,Other,NZL,236612979.0
Nicaragua,11,NIC,403377254.0
Nicaragua,31ND,NIC,2890680901.0
Nicaragua,33DG,NIC,1309453874.0
Nicaragua,Other,NIC,18813510.0
Niue,31ND,NIU,33195.0
Niue,33DG,NIU,3639990.0
Niue,Other,NIU,649059.0
Norfolk Island,33DG,NFK,48616.0
Norfolk Island,Other,NFK,142549.0
Norway,11,NOR,1331525055.0
Norway,21,NOR,472087187.0
Norway,31ND,NOR,2255793687.0
Norway,33DG,NOR,2023888616.0
