Country,usummary_code,iso3,impVal
Benin,337,BEN,199429.0
Benin,S003,BEN,3183126.0
Bermuda,112,BMU,18000.0
Bermuda,3121,BMU,723887.0
Bermuda,313TT,BMU,7901.0
Bermuda,321,BMU,6000.0
Bermuda,323,BMU,2500.0
Bermuda,324,BMU,335000.0
Bermuda,3251,BMU,22066.0
Bermuda,325X,BMU,121323.0
Bermuda,326,BMU,10890.0
Bermuda,327,BMU,5645.0
Bermuda,3313NF,BMU,5500.0
Bermuda,332,BMU,41993.0
Bermuda,3332OM,BMU,53125.0
Bermuda,3341,BMU,12990.0
Bermuda,3342,BMU,28260.0
Bermuda,3344,BMU,6000.0
Bermuda,3345,BMU,237926.0
Bermuda,334X,BMU,44000.0
Bermuda,335,BMU,326336.0
Bermuda,3362BP,BMU,50873.0
Bermuda,3365AO,BMU,30000.0
Bermuda,337,BMU,5270.0
Bermuda,3391,BMU,45765.0
Bermuda,3399,BMU,839571.0
Bermuda,S003,BMU,20347447.0
Bhutan,311,BTN,4200.0
Bhutan,3121,BTN,17649.0
Bhutan,313TT,BTN,1600.0
Bhutan,315AL,BTN,29668.0
Bhutan,322,BTN,3620.0
Bhutan,323,BTN,2465.0
Bhutan,326,BTN,3872.0
Bhutan,327,BTN,2595.0
Bhutan,3311IS,BTN,3016304.0
Bhutan,332,BTN,2040.0
Bhutan,335,BTN,300.0
Bhutan,337,BTN,2200.0
Bhutan,3399,BTN,26071.0
Bhutan,S003,BTN,168464.0
Bolivia,111,BOL,84331470.0
Bolivia,212,BOL,39436620.0
Bolivia,311,BOL,18750407.0
Bolivia,3121,BOL,223871.0
Bolivia,313TT,BOL,75949.0
Bolivia,315AL,BOL,5772686.0
Bolivia,321,BOL,16530437.0
Bolivia,322,BOL,181592.0
Bolivia,323,BOL,49917.0
Bolivia,3251,BOL,17519003.0
Bolivia,325X,BOL,36680.0
Bolivia,326,BOL,11163.0
Bolivia,327,BOL,39080.0
Bolivia,3313NF,BOL,268901235.0
Bolivia,332,BOL,116546.0
Bolivia,33311,BOL,2852.0
Bolivia,33312,BOL,2097.0
Bolivia,33313,BOL,154210.0
Bolivia,3332OM,BOL,367836.0
Bolivia,3342,BOL,91428.0
Bolivia,3344,BOL,16767.0
Bolivia,3345,BOL,187602.0
Bolivia,334X,BOL,2522190.0
Bolivia,335,BOL,229379.0
Bolivia,3362BP,BOL,797687.0
Bolivia,3365AO,BOL,21640.0
Bolivia,337,BOL,7367350.0
Bolivia,3391,BOL,14530.0
Bolivia,3399,BOL,7508646.0
Bolivia,S003,BOL,32885825.0
Bosnia and Herzegovina,111,BIH,9468.0
Bosnia and Herzegovina,212,BIH,635645.0
Bosnia and Herzegovina,311,BIH,3311955.0
