Country,summary_code,iso3,impVal
Belgium,325,BEL,14974953264.0
Belgium,326,BEL,200298269.0
Belgium,327,BEL,128109081.0
Belgium,331,BEL,1251344171.0
Belgium,332,BEL,253648753.0
Belgium,333,BEL,1290749780.0
Belgium,334,BEL,509087135.0
Belgium,335,BEL,250358447.0
Belgium,3361MV,BEL,1434707580.0
Belgium,3364OT,BEL,265861102.0
Belgium,337,BEL,30870724.0
Belgium,339,BEL,1764660506.0
Belgium,Other,BEL,2965896409.0
Belize,111CA,BLZ,2932572.0
Belize,113FF,BLZ,14923052.0
Belize,311FT,BLZ,49923044.0
Belize,313TT,BLZ,86357.0
Belize,315AL,BLZ,127643.0
Belize,321,BLZ,1956440.0
Belize,322,BLZ,43306.0
Belize,323,BLZ,3144.0
Belize,324,BLZ,4225.0
Belize,325,BLZ,1028415.0
Belize,326,BLZ,22299.0
Belize,327,BLZ,213119.0
Belize,332,BLZ,39136.0
Belize,333,BLZ,283608.0
Belize,334,BLZ,408281.0
Belize,335,BLZ,134139.0
Belize,3361MV,BLZ,25037.0
Belize,3364OT,BLZ,4500.0
Belize,337,BLZ,423897.0
Belize,339,BLZ,824774.0
Belize,Other,BLZ,7721510.0
Bermuda,111CA,BMU,18000.0
Bermuda,311FT,BMU,723887.0
Bermuda,313TT,BMU,7901.0
Bermuda,321,BMU,6000.0
Bermuda,323,BMU,2500.0
Bermuda,324,BMU,335000.0
Bermuda,325,BMU,143389.0
Bermuda,326,BMU,10890.0
Bermuda,327,BMU,5645.0
Bermuda,331,BMU,5500.0
Bermuda,332,BMU,41993.0
Bermuda,333,BMU,53125.0
Bermuda,334,BMU,329176.0
Bermuda,335,BMU,326336.0
Bermuda,3361MV,BMU,50873.0
Bermuda,3364OT,BMU,30000.0
Bermuda,337,BMU,5270.0
Bermuda,339,BMU,885336.0
Bermuda,Other,BMU,20347447.0
Bhutan,311FT,BTN,21849.0
Bhutan,313TT,BTN,1600.0
Bhutan,315AL,BTN,29668.0
Bhutan,322,BTN,3620.0
Bhutan,323,BTN,2465.0
Bhutan,326,BTN,3872.0
Bhutan,327,BTN,2595.0
Bhutan,331,BTN,3016304.0
Bhutan,332,BTN,2040.0
