country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Myanmar,MMR,0.8029556650246306,2.7197882585773495e-07,0.8476803144935917,1.2535260683552195e-08,0.3158182813355227,0.10159433299553895
Montenegro,MNE,0.6373913043478261,0.0008079747421695984,0.6478260869565217,0.000619928547036129,0.3017391304347826,0.15187145311574093
Mongolia,MNG,0.3429059829059829,0.08635810840449296,0.7593162393162393,6.8678491513747475e-06,-0.027692307692307693,0.8931776409313733
Mozambique,MOZ,0.39487179487179486,0.0458897104380586,0.5436826887462046,0.004094850523972932,0.23145299145299145,0.25525699744153757
Mauritania,MRT,0.348051948051948,0.12207717550592738,0.38051948051948054,0.08881428785517553,-0.2571428571428571,0.26047318970040845
Montserrat,MSR,0.3107142857142856,0.2596673973372179,0.39642857142857135,0.1434945314423536,0.27499999999999997,0.3212111733193767
Martinique,MTQ,0.4895104895104896,0.106252371759346,0.43356643356643365,0.1591057694121953,0.5104895104895105,0.08991373630263913
Mauritius,MUS,0.5977753058954393,0.00048596532701412405,0.696551724137931,1.9071842114998452e-05,0.32146829810900995,0.0832281590244245
Malawi,MWI,0.6642857142857141,0.006910682984519185,0.7249999999999999,0.0022270323137542148,0.48571428571428565,0.06642631232518958
Malaysia,MYS,0.600963131393779,6.617004598289822e-05,0.7485221178413084,6.532446603132478e-08,0.11634015819915988,0.4866922536687762
Mayotte,MYT,0.5249999999999999,0.04448390580010643,0.5665775274016841,0.027655274355857077,0.5535714285714285,0.03228710377012365
Namibia,NAM,0.5075611789257767,0.003024282319762077,0.7788779401571597,1.518961833239212e-07,0.2905324913677704,0.10671722216996139
New Caledonia,NCL,0.6064935064935064,0.003559301989284217,0.8792207792207792,1.5437493068884633e-07,0.41818181818181815,0.05922578935165214
Niger,NER,0.36507936507936506,0.06114223846264219,0.44909174695108833,0.018780022249686928,0.0018315018315018313,0.9927661408258597
Norfolk Island,NFK,0.8999999999999998,0.03738607346849874,0.8999999999999998,0.03738607346849874,0.3,0.6238376647810728
Nigeria,NGA,0.5262434120331962,0.0013895581010588043,0.5451627948402895,0.0008557723882220622,0.444953779280101,0.008369576914022507
Nicaragua,NIC,0.6415543973420798,7.585897215023978e-05,0.7233538174214597,2.905779390806634e-06,0.4809824967501763,0.005324480568754078
Niue,NIU,0.8095238095238096,0.014902667686230067,0.7619047619047621,0.028004939153071794,0.7380952380952381,0.03655276105286081
Netherlands,NLD,0.5316776103851449,0.0003472299885477423,0.6397561280578994,6.6873931583929704e-06,0.29446625889057615,0.06164098872857828
Norway,NOR,0.48547037359387035,0.0023210402210432986,0.5426066009774714,0.000521331333964368,0.18681061285373707,0.2682488792450828
