Country,impVal,hs_code,hs2_code,detail_code
Mexico,2712826.0,405102000,4,31151A
Canada,1592524.0,405901020,4,31151A
Mexico,136894.0,405901020,4,31151A
Canada,18450.0,405902020,4,31151A
Mexico,37542630.0,405902020,4,31151A
Canada,52230.0,405902040,4,31151A
Mexico,160304.0,406100800,4,311513
Canada,75386.0,406104400,4,311513
Mexico,361487.0,406105800,4,311513
Canada,16917.0,406106400,4,311513
Canada,1799753.0,406108400,4,311513
Mexico,18341376.0,406108400,4,311513
Canada,68431.0,406108800,4,311513
Mexico,6103328.0,406108800,4,311513
Canada,9863869.0,406109500,4,311513
Mexico,5360905.0,406109500,4,311513
Mexico,3744.0,406209500,4,311513
Mexico,331507.0,406309100,4,311513
Canada,15853.0,406309500,4,311513
Mexico,134396.0,406309500,4,311513
Canada,13758.0,406404000,4,311513
Canada,454979.0,406405400,4,311513
Canada,435537.0,406407000,4,311513
Canada,2593563.0,406900810,4,311513
Mexico,3468.0,406900890,4,311513
Canada,16229.0,406901200,4,311513
Mexico,2072709.0,406902500,4,311513
Canada,56701.0,406904200,4,311513
Mexico,1066599.0,406904300,4,311513
Canada,262371.0,406905900,4,311513
Canada,4026419.0,406907800,4,311513
Canada,631119.0,406909500,4,311513
Canada,920715.0,406909700,4,311513
Mexico,4590960.0,406909700,4,311513
Canada,65842635.0,406909900,4,311513
Mexico,4812899.0,406909900,4,311513
Canada,3687231.0,407110000,4,112300
Canada,35597203.0,407190000,4,112300
Canada,3877559.0,407290000,4,112300
Mexico,612234.0,407900000,4,311990
Canada,1204284.0,408190000,4,311990
Canada,329108.0,408910000,4,311990
Canada,6732912.0,408990000,4,311990
Canada,73319.0,409000005,4,112A00
Mexico,2284839.0,409000005,4,112A00
Canada,1222119.0,409000010,4,112A00
Mexico,1059846.0,409000010,4,112A00
Canada,21752098.0,409000035,4,112A00
Mexico,9049517.0,409000035,4,112A00
Canada,2375227.0,409000045,4,112A00
Mexico,2376252.0,409000045,4,112A00
