U.Summary Code,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE
335,-14,-7,0,8,2,-1,0,0,42,106,40,8,108,8,50,-2,9,2,9,5,185,1,2,1,61,0,4,3,12,0,26,-1,-20,0,20,1,12,3,1,1,17,9,0,1,0,9,2,4,-5,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,8,0,-1,-1,0,0,1,-1,2,0,21,0,0,0,0,1,0,1,0,0,0,0,20,56,4,-1,0,-1,-1,0,0,-1,0,0,0,60,-9,0,-80,3,50,1,0,0,8,0,0,25,-21,24,-44,0,0,0,0,0,3,42,-4,2,7,28,4,60,3,-1,0,173,208,2,7,2,-3,-6
336111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
3362BP,19,9,7,49,30,12,2,0,0,22,0,0,0,0,0,0,167,35,47,19,108,95,192,18,194,1,21,5,16,1,52,423,3996,358,2467,29,116,34,29,34,154,142,7,5,0,101,11,15,18,21,2,71,62,-4,6,19,35,131,2,85,17,57,13,0,83,89,14,73,36,1,5,170,23,0,3,0,302,15,0,5,0,31,3,1,4,27,3,4,0,2,10,13,2,0,0,0,0,0,0,0,130,0,5,0,23,27,55,11,13,39,7,331,74,78,13,2,6,1,-1,11,28,5,44,3,5,7,82,698,19,40,0,148,0,151,158,18,174,51
3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,3,0,0,0,0,0
3365AO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,7,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27,0,13,0,0,5,0,0,0,0,0,14,17,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,19,0,0,0,0,0,0,0,10,0,29,0,0,0,0,0,0,0,0,0,2,9,1,0,0,16,14,0,0,9,0,0,0,0,0,7,0,0,0,124
3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-11,0,0,0,0,-1,0,-59,-24,0,-5,0,-295,-4,-2,0,0,0,0,0,0,0,0,-10,-4,0,0,-48,0,0
3399,0,0,0,2,1,0,0,0,0,0,1,2,0,0,-3,3,0,0,0,0,1,2,0,9,38,0,0,0,0,0,12,3,10,1,41,0,0,0,0,-20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-1,2,6,0,2,0,0,-10,4,0,2,0,0,-2,-15,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,8,0,2,-2,4,0,-1,-7,1,0,0,0,0,0,1,0,0,-1,-17,6,2,0,12,2,36,12,0,0,-2,0,-10,-4,-2,0
