Country,original_impVal,june_2025_impVal,difference,percent_change
Argentina,7092161169.0,7096584789.0,4423620.0,0.062373371030198035
Turkey,16745664057.0,16749955433.0,4291376.0,0.025626789032627967
Oman,1319991529.0,1324176776.0,4185247.0,0.3170662014149941
Burma,656460945.0,652374896.0,-4086049.0,-0.622435962279523
"Korea, South",131549187120.0,131553159443.0,3972323.0,0.0030196484577106673
Dominican Republic,7505430838.0,7501518436.0,-3912402.0,-0.052127613783228895
Uruguay,1228834152.0,1232545969.0,3711817.0,0.3020600456098001
Guatemala,5019892412.0,5017519908.0,-2372504.0,-0.04726204877077752
Ghana,1171728486.0,1173907743.0,2179257.0,0.1859865170163662
Sri Lanka,3015585462.0,3013844753.0,-1740709.0,-0.057723749564886316
Nicaragua,4622325539.0,4620599864.0,-1725675.0,-0.037333480418891805
Morocco,1904884441.0,1903172523.0,-1711918.0,-0.08986991353141091
Cameroon,248805280.0,247114466.0,-1690814.0,-0.679573198768129
Qatar,1834185727.0,1835759642.0,1573915.0,0.08581001241211818
Madagascar,733215493.0,731744579.0,-1470914.0,-0.200611418340556
Jamaica,361372579.0,362804612.0,1432033.0,0.39627605502408636
Malawi,41054610.0,39736916.0,-1317694.0,-3.209612757251865
Bolivia,504146695.0,502846157.0,-1300538.0,-0.2579681693638793
Austria,17572012829.0,17573286978.0,1274149.0,0.0072510133722256676
Honduras,5532561721.0,5531307173.0,-1254548.0,-0.022675716300427334
Slovenia,6293037940.0,6291803638.0,-1234302.0,-0.019613770197609837
Haiti,616770785.0,615559640.0,-1211145.0,-0.1963687368882104
Bulgaria,1490134155.0,1489084413.0,-1049742.0,-0.07044614046847346
Lebanon,257571987.0,256568084.0,-1003903.0,-0.3897562819981662
Zimbabwe,67833118.0,66861338.0,-971780.0,-1.4326040563254074
Peru,9363192761.0,9362255918.0,-936843.0,-0.010005593432853177
Egypt,2546000141.0,2545084546.0,-915595.0,-0.03596209541608191
Panama,555820472.0,554906160.0,-914312.0,-0.16449771932833737
Greece,2243610292.0,2242727424.0,-882868.0,-0.03935032760136759
Fiji,259272473.0,258456190.0,-816283.0,-0.31483596795098256
Croatia,1000870837.0,1000109643.0,-761194.0,-0.07605317008552223
Namibia,275225098.0,274591776.0,-633322.0,-0.23011055481575302
El Salvador,2311212791.0,2310594296.0,-618495.0,-0.026760625521304496
Paraguay,356152957.0,355572543.0,-580414.0,-0.16296762067877482
Zambia,169112021.0,168542652.0,-569369.0,-0.3366815656469507
Uganda,132618139.0,132082589.0,-535550.0,-0.4038286195525636
Tunisia,1123215612.0,1122719556.0,-496056.0,-0.04416391605497022
Laos,803320155.0,802837802.0,-482353.0,-0.06004492691957916
Cabo Verde,4482999.0,4058247.0,-424752.0,-9.474728858962493
Liechtenstein,243720520.0,243316162.0,-404358.0,-0.16591052735321588
Luxembourg,698625976.0,698269412.0,-356564.0,-0.051037896134569154
Cayman Islands,49399550.0,49045381.0,-354169.0,-0.7169478264478117
Libya,1465562558.0,1465240472.0,-322086.0,-0.021976953371375636
Mongolia,26977440.0,27296351.0,318911.0,1.1821395951580282
Ethiopia,465844335.0,465526679.0,-317656.0,-0.0681893019048949
Niger,8306694.0,8024294.0,-282400.0,-3.3996677860048776
Armenia,121583116.0,121300844.0,-282272.0,-0.2321638145875452
