country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Qatar,QAT,0.36731901260910566,0.054494744970706,0.6432188372812208,0.00022250215013195777,0.3120295636172731,0.10599039465385567
Reunion,REU,0.40343355222364174,0.1083133225569783,0.7099940022416067,0.0014073640168974744,0.10177806940596434,0.6975057342204392
Romania,ROU,0.5370471837095745,0.0005081573156306684,0.7023093087149662,8.905106332518869e-07,0.20936850671212878,0.20710799731748866
Russia,RUS,0.3397759103641457,0.045825693656519596,0.7383753501400561,4.1243528242244047e-07,0.12605042016806722,0.47058517625973306
Rwanda,RWA,0.648051948051948,0.0014887342546572653,0.7766233766233767,3.474548938772684e-05,0.2896103896103896,0.20287731652328853
Saudi Arabia,SAU,0.34479488756972687,0.03662783535390041,0.5701578514208978,0.00022959602990837028,0.26322030619146963,0.115474890595414
Sudan,SDN,,,,,,
Senegal,SEN,0.674303309564475,0.00015848137316243355,0.8062916855745601,6.598656292657305e-07,0.4684561531964153,0.015789357679457366
Singapore,SGP,0.5468972441403595,0.0003810950973241172,0.7281383560668022,2.206037026184076e-07,0.13407026697457278,0.4222700635243245
St. Helena,SHN,0.02857142857142857,0.9227613765698746,0.3758241758241759,0.185410028697123,-0.2923076923076923,0.3105263203858819
Svalbard and Jan Mayen Islands,SJM,-0.09999999999999999,0.8728885715695383,0.3,0.6238376647810728,-0.6,0.28475697986529375
Solomon Islands,SLB,0.8601398601398602,0.0003316683391269209,0.8671328671328673,0.00025981184986148103,0.4265734265734266,0.16669998762494495
Sierra Leone,SLE,0.34282536151279197,0.06365368596423306,0.6100789892017748,0.0003441952336518986,0.1203559510567297,0.5263973902969714
El Salvador,SLV,0.7023687153496959,1.7998606157393322e-06,0.7684483241517889,4.440802342887875e-08,0.5774974444755749,0.00022618818501002956
