Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
New Zealand,3249472.0,0307310010,3,0307310010,112512,112512,direct_2022
New Zealand,65962.0,0307310090,3,0307310090,114112,114112,direct_2022
New Zealand,54544949.0,0307320000,3,0307320000,114112,114112,direct_2022
New Zealand,14516835.0,0307390100,3,0307390100,114112,114112,direct_2022
New Zealand,525680.0,0307430029,3,0307430029,114112,114112,direct_2022
New Zealand,25780733.0,0307430050,3,0307430050,114112,114112,direct_2022
New Zealand,3821804.0,0307490150,3,0307490150,114112,114112,direct_2022
Australia,879641.0,0307520000,3,0307520000,114112,114112,direct_2022
Australia,236617.0,0307590100,3,0307590100,114112,114112,direct_2022
New Zealand,11560.0,0307710050,3,0307710050,114112,114112,direct_2022
New Zealand,1618690.0,0307710070,3,0307710070,114112,114112,direct_2022
New Zealand,736786.0,0307710090,3,0307710090,114112,114112,direct_2022
Australia,8616.0,0307810000,3,0307810000,114112,114112,direct_2022
New Zealand,3075.0,0307810000,3,0307810000,114112,114112,direct_2022
Australia,2759141.0,0307830000,3,0307830000,114112,114112,direct_2022
Australia,36960.0,0307870000,3,0307870000,114112,114112,direct_2022
Australia,782847.0,0308190100,3,0308190100,311710,114112,direct_2022
Fiji,24215.0,0308190100,3,0308190100,311710,114112,direct_2022
Australia,321217.0,0308210021,3,0308210021,114112,114112,direct_2022
Australia,27720.0,0308210029,3,0308210029,114112,114112,direct_2022
Fiji,8988.0,0308220000,3,0308220000,311710,114112,direct_2022
Australia,2159452.0,0308900100,3,0308900100,311710,114112,direct_2022
Fiji,189965.0,0308900100,3,0308900100,311710,114112,direct_2022
French Polynesia,37951.0,0308900100,3,0308900100,311710,114112,direct_2022
New Zealand,138449.0,0309904090,3,0309904090,311710,114112,direct_2022
New Zealand,69096.0,0309906000,3,0309906000,311710,114112,direct_2022
New Zealand,158025.0,0401502500,4,0401502500,311511,311511,direct_2022
New Zealand,1981282.0,0402101000,4,0402101000,311514,311514,direct_2022
New Zealand,5572943.0,0402213000,4,0402213000,311514,311514,direct_2022
Australia,4221.0,0402215000,4,0402215000,311514,311514,direct_2022
