Country,iso3,HS_Section,usummary_code,impVal,bea_total,weight
Argentina,ARG,16,33311,5923945.0,6646334.0,0.8913101568473688
Argentina,ARG,17,33311,94678.0,6646334.0,0.014245146271613794
Argentina,ARG,21,33311,627711.0,6646334.0,0.09444469688101742
Argentina,ARG,16,33312,4131173.0,4133253.0,0.9994967644129212
Argentina,ARG,17,33312,2080.0,4133253.0,0.0005032355870787489
Argentina,ARG,16,33313,245503.0,245503.0,1.0
Argentina,ARG,15,3332OM,336459.0,78061916.0,0.004310155543709688
Argentina,ARG,16,3332OM,76800810.0,78061916.0,0.9838447982752563
Argentina,ARG,18,3332OM,810730.0,78061916.0,0.010385730219586206
Argentina,ARG,20,3332OM,113917.0,78061916.0,0.0014593159614478333
Argentina,ARG,16,3341,456509.0,456509.0,1.0
Argentina,ARG,16,3342,497459.0,497459.0,1.0
Argentina,ARG,16,3344,3738536.0,3738536.0,1.0
Argentina,ARG,16,3345,143853.0,5602051.0,0.025678630915712833
Argentina,ARG,18,3345,5458198.0,5602051.0,0.9743213690842871
Argentina,ARG,16,334X,474183.0,474183.0,1.0
Argentina,ARG,13,335,44523.0,11443862.0,0.0038905572262231056
Argentina,ARG,15,335,323134.0,11443862.0,0.02823644675197936
Argentina,ARG,16,335,10635439.0,11443862.0,0.9293575018643182
Argentina,ARG,20,335,440766.0,11443862.0,0.03851549415747935
Argentina,ARG,17,336111,59546.0,59546.0,1.0
Argentina,ARG,17,336112,260600.0,260600.0,1.0
Argentina,ARG,17,33612,13000.0,13000.0,1.0
Argentina,ARG,16,3362BP,24036192.0,30617391.0,0.785050300334212
Argentina,ARG,17,3362BP,6329676.0,30617391.0,0.2067346626627984
Argentina,ARG,20,3362BP,251523.0,30617391.0,0.008215037002989575
Argentina,ARG,16,3364,7500231.0,8665220.0,0.8655557504598844
Argentina,ARG,17,3364,1164989.0,8665220.0,0.13444424954011555
Argentina,ARG,17,3365AO,1131920.0,1157082.0,0.9782539180455664
Argentina,ARG,21,3365AO,25162.0,1157082.0,0.021746081954433654
Argentina,ARG,15,337,167413.0,4237058.0,0.03951161395477711
Argentina,ARG,18,337,7631.0,4237058.0,0.0018010138166624106
Argentina,ARG,20,337,4062014.0,4237058.0,0.9586873722285605
Argentina,ARG,6,3391,88817.0,2254370.0,0.03939770312770308
Argentina,ARG,12,3391,720.0,2254370.0,0.0003193796936616438
Argentina,ARG,16,3391,313153.0,2254370.0,0.13890931834614548
Argentina,ARG,18,3391,1851680.0,2254370.0,0.8213735988324898
Argentina,ARG,7,3399,300971.0,2565888.0,0.1172970137433902
Argentina,ARG,8,3399,1321.0,2565888.0,0.0005148315125212013
Argentina,ARG,12,3399,4130.0,2565888.0,0.001609579217799062
Argentina,ARG,14,3399,437277.0,2565888.0,0.17041936358874588
Argentina,ARG,15,3399,496640.0,2565888.0,0.19355482390501846
Argentina,ARG,16,3399,27050.0,2565888.0,0.010542159283647611
Argentina,ARG,18,3399,295821.0,2565888.0,0.11528991132894344
Argentina,ARG,20,3399,1002678.0,2565888.0,0.3907723174199342
Argentina,ARG,6,S003,3003.0,290009890.0,1.0354819278749425e-05
Argentina,ARG,7,S003,20455.0,290009890.0,7.053207737156825e-05
Argentina,ARG,10,S003,20000.0,290009890.0,6.896316535963653e-05
Argentina,ARG,11,S003,5012.0,290009890.0,1.7282169239124913e-05
Argentina,ARG,14,S003,875360.0,290009890.0,0.0030183798214605717
Argentina,ARG,15,S003,288731.0,290009890.0,0.0009955901848726608
Argentina,ARG,17,S003,71800.0,290009890.0,0.00024757776364109515
Argentina,ARG,21,S003,288725529.0,290009890.0,0.9955713199987766
Armenia,ARM,2,111,215094.0,215094.0,1.0
Armenia,ARM,1,112,311624.0,311624.0,1.0
Armenia,ARM,1,113FF,96196.0,100804.0,0.9542875282726876
Armenia,ARM,2,113FF,4608.0,100804.0,0.04571247172731241
Armenia,ARM,5,212,89580.0,89580.0,1.0
Armenia,ARM,1,311,1673420.0,8320360.0,0.2011235090789341
Armenia,ARM,2,311,842515.0,8320360.0,0.10125944069727752
Armenia,ARM,3,311,23051.0,8320360.0,0.0027704330101101394
Armenia,ARM,4,311,5781374.0,8320360.0,0.6948466172136782
Armenia,ARM,4,3121,10614933.0,10614933.0,1.0
Armenia,ARM,8,313TT,1208.0,230105.0,0.005249777275591578
Armenia,ARM,11,313TT,177819.0,230105.0,0.772773299146042
Armenia,ARM,20,313TT,51078.0,230105.0,0.2219769235783664
Armenia,ARM,8,315AL,213368.0,8267713.0,0.0258073786547743
Armenia,ARM,11,315AL,7984659.0,8267713.0,0.9657639301219092
Armenia,ARM,12,315AL,69686.0,8267713.0,0.008428691223316532
Armenia,ARM,9,321,387341.0,387341.0,1.0
