Country,iso3,detail_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Bahrain,BHR,327390,3000.0,Asia,RoWorld,RoAsia,3.115276022853374e-06,0.000130585586250278,962996530.0,22973439.0
Bahrain,BHR,327910,3431598.0,Asia,RoWorld,RoAsia,0.0019008391884201606,0.032085666498063166,1805306846.0,106951121.0
Bahrain,BHR,327993,1971076.0,Asia,RoWorld,RoAsia,0.0019232753191067381,0.05111977690332586,1024853790.0,38557993.0
Bahrain,BHR,331200,58099.0,Asia,RoWorld,RoAsia,2.3787716370302787e-05,0.0004142844809863432,2442395020.0,140239383.0
Bahrain,BHR,331313,94707946.0,Asia,RoWorld,RoAsia,0.009936822653206551,0.05230230922503142,9531008986.0,1810779436.0
Bahrain,BHR,331314,257458563.0,Asia,RoWorld,RoAsia,0.12744597899821108,0.2446135017215738,2020138768.0,1052511661.0
Bahrain,BHR,33131B,341862717.0,Asia,RoWorld,RoAsia,0.04680302005256883,0.28706664012333205,7304287557.0,1190882775.0
Bahrain,BHR,331410,295746.0,Asia,RoWorld,RoAsia,6.973162971144198e-06,1.6244777156881724e-05,42412030412.0,18205605232.0
Bahrain,BHR,331420,78102371.0,Asia,RoWorld,RoAsia,0.012645605333089276,0.1053486002641766,6176246130.0,741370752.0
Bahrain,BHR,331490,4838.0,Asia,RoWorld,RoAsia,1.8808138975310984e-07,1.5713845910808468e-06,25722906484.0,3078813441.0
Bahrain,BHR,332310,31795.0,Asia,RoWorld,RoAsia,3.6253792624324713e-06,7.405017934536549e-05,8770116917.0,429371006.0
Bahrain,BHR,332320,7715.0,Asia,RoWorld,RoAsia,2.3352823431269545e-06,1.1583462664358055e-05,3303669050.0,666035729.0
Bahrain,BHR,332410,32517.0,Asia,RoWorld,RoAsia,1.0026278819125423e-05,0.0004943275093585804,3243177313.0,65780276.0
Bahrain,BHR,332600,1744576.0,Asia,RoWorld,RoAsia,0.0004529392048242225,0.02506592539702689,3851678065.0,69599505.0
Bahrain,BHR,332720,3504.0,Asia,RoWorld,RoAsia,4.928640892267104e-07,6.064125216709406e-05,7109465016.0,57782448.0
Bahrain,BHR,33291A,28548.0,Asia,RoWorld,RoAsia,1.4018027521125085e-06,5.148545269769164e-05,20365204703.0,554486724.0
Bahrain,BHR,332999,12778.0,Asia,RoWorld,RoAsia,8.300432027639289e-07,6.825959752083577e-05,15394379422.0,187197119.0
Bahrain,BHR,333120,25000.0,Asia,RoWorld,RoAsia,7.642077386362263e-07,1.3865734706488544e-05,32713617955.0,1803005793.0
Bahrain,BHR,33329A,64799.0,Asia,RoWorld,RoAsia,4.282318102603393e-06,0.00016567170070965853,15131757718.0,391128960.0
Bahrain,BHR,333413,1316236.0,Asia,RoWorld,RoAsia,0.0002883006066730223,0.011379451346140084,4565498544.0,115667791.0
Bahrain,BHR,333415,242885.0,Asia,RoWorld,RoAsia,1.2459278035216155e-05,0.0009936049249521161,19494307721.0,244448265.0
Bahrain,BHR,333511,26596.0,Asia,RoWorld,RoAsia,1.162924664617354e-05,0.002200411340242947,2286992512.0,12086831.0
Bahrain,BHR,333612,5000.0,Asia,RoWorld,RoAsia,1.0342033132479073e-06,9.34277519177027e-05,4834639317.0,53517289.0
Bahrain,BHR,333618,104670.0,Asia,RoWorld,RoAsia,7.127590554323851e-06,0.00018385637626797073,14685186979.0,569303073.0
Bahrain,BHR,333912,8330.0,Asia,RoWorld,RoAsia,9.364130774902559e-07,6.53250234779938e-05,8895646804.0,127516219.0
Bahrain,BHR,333920,80000.0,Asia,RoWorld,RoAsia,4.596300251788666e-06,0.001030578288394967,17405303313.0,77626320.0
Bahrain,BHR,33399A,212464.0,Asia,RoWorld,RoAsia,8.22177749880375e-06,0.00043897232336153724,25841613937.0,484003179.0
Bahrain,BHR,33399B,29500.0,Asia,RoWorld,RoAsia,3.929897796767917e-06,0.00036230169109902364,7506556538.0,81423854.0
