Country,iso3,usummary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Australia,AUS,3362BP,130158834.0,Oceania,RoAsia,RoAsia,0.0008464026246863077,0.006470649413032054,153778863869.0,20115265979.0
Australia,AUS,3364,381354829.0,Oceania,RoAsia,RoAsia,0.006089132112904523,0.10512304670055879,62628765796.0,3627699548.0
Australia,AUS,3365AO,129219955.0,Oceania,RoAsia,RoAsia,0.008318628013243321,0.04426449436448545,15533806151.0,2919268747.0
Australia,AUS,337,26567522.0,Oceania,RoAsia,RoAsia,0.0005575487684778898,0.0013439180194157853,47650579648.0,19768707329.0
Australia,AUS,3391,537878415.0,Oceania,RoAsia,RoAsia,0.009315954127473628,0.05604931088433719,57737340442.0,9596521465.0
Australia,AUS,3399,924304340.0,Oceania,RoAsia,RoAsia,0.009455172451755771,0.03443898675033106,97756476121.0,26838894730.0
Australia,AUS,S003,1264208829.0,Oceania,RoAsia,RoAsia,0.008574565994783909,0.05956807806299422,147437063260.0,21222924595.0
Austria,AUT,111,2376177.0,Europe,Europe,Europe,4.5716742671376085e-05,0.001592242650592073,51976078372.0,1492346031.0
Austria,AUT,112,920874.0,Europe,Europe,Europe,6.619410241361795e-05,0.0004078421699085882,13911722743.0,2257917567.0
Austria,AUT,113FF,1356112.0,Europe,Europe,Europe,8.256857680287354e-05,0.0006313103401925162,16424068968.0,2148090905.0
Austria,AUT,212,1658467.0,Europe,Europe,Europe,0.00027939313956368636,0.0030998387520951103,5935961787.0,535017184.0
Austria,AUT,311,189220847.0,Europe,Europe,Europe,0.0016056353676754337,0.00818245685277405,117847956522.0,23125187264.0
Austria,AUT,3121,196286163.0,Europe,Europe,Europe,0.006367624777939744,0.01431896065725014,30825648471.0,13708129221.0
Austria,AUT,313TT,45468799.0,Europe,Europe,Europe,0.001335347795370891,0.010045414195191265,34050154692.0,4526323964.0
Austria,AUT,315AL,28571683.0,Europe,Europe,Europe,0.00022993603641951918,0.0025007889955594976,124259265511.0,11425067469.0
Austria,AUT,321,172465724.0,Europe,Europe,Europe,0.007413102472125924,0.05576704417274168,23264985834.0,3092610099.0
Austria,AUT,322,113631141.0,Europe,Europe,Europe,0.0042714912966031115,0.021498251558022177,26602217612.0,5285599189.0
Austria,AUT,323,9560622.0,Europe,Europe,Europe,0.001407880210727101,0.007585345358168126,6790792233.0,1260406949.0
Austria,AUT,324,3711234.0,Europe,Europe,Europe,5.9696277537237745e-05,0.0002366199120895826,62168600005.0,15684368941.0
Austria,AUT,3251,178000343.0,Europe,Europe,Europe,0.0027685420180347353,0.0062858449158736795,64293892540.0,28317647887.0
Austria,AUT,3252,203910203.0,Europe,Europe,Europe,0.009342750847601933,0.035195462980253875,21825499398.0,5793650253.0
Austria,AUT,3254,3560721799.0,Europe,Europe,Europe,0.014130816077426374,0.01917944008882351,251982743211.0,185653062994.0
Austria,AUT,325X,42810157.0,Europe,Europe,Europe,0.0007873129163320652,0.0026353717173816698,54375021814.0,16244447308.0
Austria,AUT,326,237882950.0,Europe,Europe,Europe,0.003095338608781568,0.022748000887072673,76851995877.0,10457312323.0
Austria,AUT,327,219748420.0,Europe,Europe,Europe,0.007300053386483166,0.028917432735388656,30102303143.0,7599167672.0
Austria,AUT,3311IS,590904029.0,Europe,Europe,Europe,0.01525718019249001,0.062302966248923404,38729570048.0,9484364302.0
Austria,AUT,3313NF,344124001.0,Europe,Europe,Europe,0.0036178718342546492,0.01404255626534332,95117797635.0,24505794707.0
Austria,AUT,332,975311583.0,Europe,Europe,Europe,0.009861519105769755,0.04183047222285847,98900744656.0,23315815748.0
Austria,AUT,33311,108139924.0,Europe,Europe,Europe,0.006991851435156629,0.018412629212523263,15466564901.0,5873138635.0
Austria,AUT,33312,772383154.0,Europe,Europe,Europe,0.023610447339162247,0.07437058393572954,32713617955.0,10385600235.0
