Country,iso3,summary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Argentina,ARG,3361MV,30950537.0,South America,RoWorld,RoWorld,7.382959107516882e-05,0.005590771437617065,419215880100.0,5536004708.0
Argentina,ARG,3364OT,9822302.0,South America,RoWorld,RoWorld,0.00012566503065764324,0.0029278128328684393,78162571947.0,3354825790.0
Argentina,ARG,337,4237058.0,South America,RoWorld,RoWorld,8.891933805002178e-05,0.00832271092405716,47650579648.0,509095899.0
Argentina,ARG,339,4820258.0,South America,RoWorld,RoWorld,3.099967642794992e-05,0.00028291484322627824,155493816563.0,17037840592.0
Argentina,ARG,Other,290009890.0,South America,RoWorld,RoWorld,0.001967008047959948,0.022220076505164502,147437063260.0,13051705287.0
Armenia,ARM,111CA,526718.0,Asia,Europe,RoAsia,7.99416570421998e-06,0.00014044826083182434,65887801115.0,3750263598.0
Armenia,ARM,113FF,100804.0,Asia,Europe,RoAsia,6.1375777340196565e-06,4.6927250501998654e-05,16424068968.0,2148090905.0
Armenia,ARM,212,89580.0,Asia,Europe,RoAsia,1.5091067499151339e-05,0.00016743387442299423,5935961787.0,535017184.0
Armenia,ARM,311FT,18935293.0,Asia,Europe,RoAsia,0.00012572982692077474,0.0005121050425967769,150603030830.0,36975408217.0
Armenia,ARM,313TT,230105.0,Asia,Europe,RoAsia,6.757825392613051e-06,5.083705935106151e-05,34050154692.0,4526323964.0
Armenia,ARM,315AL,8267713.0,Asia,Europe,RoAsia,6.653598800862141e-05,0.0007236467550351934,124259265511.0,11425067469.0
Armenia,ARM,321,387341.0,Asia,Europe,RoAsia,1.6649096748381885e-05,0.00012524727902985485,23264985834.0,3092610099.0
Armenia,ARM,322,95825.0,Asia,Europe,RoAsia,3.602143302398003e-06,1.812944882378216e-05,26602217612.0,5285599189.0
Armenia,ARM,323,18231.0,Asia,Europe,RoAsia,2.684664671583687e-06,1.446437598147517e-05,6790792233.0,1260406949.0
Armenia,ARM,325,1002607.0,Asia,Europe,RoAsia,2.5545614113142356e-06,4.248176187230716e-06,392477156963.0,236008808442.0
Armenia,ARM,326,269035.0,Asia,Europe,RoAsia,3.500689825031803e-06,2.5726973785441945e-05,76851995877.0,10457312323.0
Armenia,ARM,327,80424.0,Asia,Europe,RoAsia,2.6716892597203756e-06,1.0583264308844165e-05,30102303143.0,7599167672.0
Armenia,ARM,331,2160611.0,Asia,Europe,RoAsia,1.6142349583722293e-05,6.356578089051916e-05,133847367683.0,33990159009.0
Armenia,ARM,332,205431.0,Asia,Europe,RoAsia,2.0771431066018485e-06,8.810800454949624e-06,98900744656.0,23315815748.0
Armenia,ARM,333,370985.0,Asia,Europe,RoAsia,1.4797207924363588e-06,4.348385809215043e-06,250712838460.0,85315566805.0
Armenia,ARM,334,617819.0,Asia,Europe,RoAsia,1.144809646149629e-06,1.1677606780629082e-05,539669631609.0,52906302773.0
Armenia,ARM,335,232307.0,Asia,Europe,RoAsia,1.1364141567236077e-06,8.376207972881064e-06,204421071865.0,27734149003.0
Armenia,ARM,3361MV,14029.0,Asia,Europe,RoAsia,3.346485824118474e-08,1.93444319527502e-07,419215880100.0,72522160559.0
Armenia,ARM,337,124863.0,Asia,Europe,RoAsia,2.62038785094277e-06,2.4096317742691737e-05,47650579648.0,5181829080.0
Armenia,ARM,339,84831484.0,Asia,Europe,RoAsia,0.0005455617842245811,0.0026073500731874405,155493816563.0,32535517525.0
Armenia,ARM,Other,3021911.0,Asia,Europe,RoAsia,2.0496277755281708e-05,5.2006594741536384e-05,147437063260.0,58106303922.0
Aruba,ABW,313TT,300.0,North America,RoWorld,RoWorld,8.810532660237349e-09,2.8038874976741635e-07,34050154692.0,1069943071.0
